0,component_1,component_2,pred,true
U10,-0.46867344566551095,-0.24263458831854096,0,2
U100,0.34196780329306864,0.7369365630785383,2,1
U101,0.20732697770460073,0.03948834106415831,3,3
U102,0.5995918889681273,-0.5509322288604566,1,2
U103,-0.4270146208082858,0.03606147240287435,0,3
U104,0.2892503446645139,0.066798767816357,3,3
U105,-0.28457083672152356,-0.6644800592170569,3,3
U107,-0.12742277062211227,-0.18320383587864564,3,2
U108,-0.5624139012521359,-0.14801377560822376,0,2
U112,0.11016760946102047,-0.1612136583412702,3,3
U113,-0.6231191201480807,-0.15590115543923186,0,2
U115,-0.39986865361649204,-0.4203516181937692,0,3
U117,-0.21441826701561556,-0.24506366174820837,0,3
U118,-0.26811293106013134,-0.25207090721242853,0,4
U119,-0.22700562411365116,0.20607345113627226,0,2
U12,-0.5496403633636071,-0.544930712223067,0,3
U120,0.35554247631814623,0.49067764632526384,2,2
U121,0.1344411384102459,-0.11188924398784009,3,2
U122,0.46089498358446745,0.2309387307465653,2,1
U123,-0.31403148382901147,-0.339967441206003,0,1
U125,-0.12356023708510472,-0.409751885960549,3,1
U126,-0.3288189656710378,-0.08715426826102332,0,1
U127,0.0849841618354141,0.29377199014766847,2,3
U128,-0.28532356028564293,-0.3173940189925978,0,3
U129,-0.18863100311510606,0.04628639240183557,0,4
U13,-0.40589481541884875,-0.043023173355345945,0,2
U130,0.43755441352923974,0.5216706363065893,2,1
U131,0.19866927740894966,-0.31382283679803763,3,1
U132,0.405744803259038,-0.14802391325020317,3,2
U133,-0.40403545350992354,0.10719921355279236,0,4
U134,0.16186395743651977,-0.16533846319183557,3,3
U135,-0.24702205682073636,-0.28753278711876623,0,2
U136,0.5100012609326868,-0.402687557193069,3,1
U137,0.2408967505876331,-0.2071150108453423,3,4
U138,0.10002162052173848,-0.7014736924733587,3,1
U14,-0.8069383119905955,0.051381283033009234,0,2
U140,-0.23071744358752377,-0.17517675381172024,0,4
U141,0.7807175913919484,0.04979605295354109,1,2
U142,0.3446381718407195,-0.7401789564528454,3,2
U143,0.0741572694151993,-0.8845791130022135,3,2
U145,-0.2651770645094088,-0.4331682316472858,3,4
U146,0.6618356616167236,-0.680714729534208,1,3
U147,0.8955105983905628,0.018473996537311545,1,3
U148,1.0408148951630152,0.5349160406610928,2,3
U149,0.2990853914828025,0.08340353123720036,3,3
U15,-0.24984310366082468,0.13187083158683144,0,2
U150,0.5683066633022901,-0.49447157441776135,1,1
U151,0.7519106520023323,0.47568150067605003,2,2
U152,0.731307948493439,-0.15418355074773482,1,3
U153,1.3338562843846147,-0.8183452396186708,1,1
U154,0.7124392322822174,-0.305029206962794,1,3
U156,1.0954801781658812,-0.39442302814909325,1,3
U157,0.770430574328002,1.2483685955202715,2,2
U158,0.5351423677888522,0.12922947686895886,2,3
U159,0.37087222069222275,-0.21045536461780207,3,3
U16,-0.2257929557645859,0.43183216211338254,0,4
U160,0.36669243612412517,-0.0110796620955733,3,1
U161,0.20036379115380148,0.48378151490551907,2,1
U162,0.30399065250969737,0.5193624295358954,2,2
U163,0.509726637075303,-0.2970238786060252,3,2
U164,0.29465142528790866,0.16751367587519383,2,2
U165,0.44337696089184836,-0.16731780167717644,3,4
U166,0.8320374432429669,-0.30339904647057725,1,4
U167,0.08406961231144282,-0.47232084623736176,3,1
U168,0.15756892437600242,0.09323386294998509,3,2
U169,-0.19269889086380557,-0.37630161976067333,3,2
U17,-0.20678656386328517,0.5725844143498461,0,4
U170,0.07362098119892349,-0.3994372155742161,3,1
U171,0.029975790407446162,-0.3129033214430843,3,2
U172,0.01309219154454611,-0.4663591768188381,3,4
U173,0.3757398021583009,-0.7448647646059755,3,3
U174,0.23979988063582572,-0.6698158055599439,3,3
U175,0.2813640060384005,-0.5182653021301591,3,3
U176,0.38168802022533155,-0.5617654237510568,3,1
U177,0.7303660367935015,0.6904424581109918,2,3
U178,1.0259567502375118,0.32140431946942954,2,2
U179,0.2454129000764529,-0.1976431607394994,3,1
U18,-0.18014140258106062,-0.4049281630774907,3,4
U180,0.3767425123997107,0.10560356392052986,2,4
U181,1.0909569899917582,0.4291047100809143,2,3
U182,-0.06061131942044656,0.16321737467076633,0,2
U183,-0.06720383716240624,0.6355494302495825,2,1
U184,0.03634042068150027,0.10266662504839977,3,1
U185,0.5368006056335796,0.43481205946822515,2,1
U186,-0.09648634127556625,-0.15106861432608065,3,3
U187,-0.2335506473553391,0.27807002725975477,0,1
U188,-0.09049064503567704,0.09690440499348421,0,2
U189,-0.1642350338255588,-0.4664914261500563,3,2
U19,-0.21326711569177736,0.4209781827995116,0,4
U190,-0.6474274805458736,0.003948920540979631,0,3
U192,-0.5942392789866132,0.05471900346715523,0,2
U193,0.23523941628162287,-0.030266421239582942,3,3
U194,-1.0600577545776093,-0.09670341991840004,0,3
U195,-0.3695080863170571,0.060009315321776585,0,1
U196,0.18846306590907605,0.17615584768684397,2,2
U197,-0.22908487638696876,-0.37246613182988175,3,1
U198,-0.059024803883118634,-0.4350713115796154,3,2
U199,-0.12676403106926973,0.5838109150087603,2,2
U2,-0.3485007452881908,0.42220267908108494,0,3
U20,-0.41995887369558726,-0.178051846462722,0,2
U200,-0.4552883658535193,-0.5238666982323743,0,2
U201,-0.6878648868955743,-0.11160217275712953,0,1
U202,-0.7402710119305439,-0.10052492859163374,0,1
U204,-0.8187107500433155,0.00850716265340969,0,3
U205,-0.6067326288108731,-0.08199308073219533,0,1
U206,-0.25791930671198005,-3.834122182244659e-08,0,1
U208,-0.3010958888960746,-0.2817243612857767,0,4
U209,-0.19576663629856403,0.15918251357061103,0,1
U21,0.7044409402855787,-0.21477890974168037,1,3
U210,-0.9641559257422397,-0.306179386429819,0,2
U211,-0.6223404439236753,-0.1302129934957327,0,2
U212,-0.547207851314601,-0.019369144159629464,0,4
U213,-0.4588204198816913,-0.0757215750047977,0,3
U214,-0.7376115194606191,0.13171512787354897,0,2
