0,component_1,component_2,pred,true
U10,-0.4025200104169476,-0.33702629053992406,0,2
U100,0.0338944852268871,0.8075283499638082,3,1
U101,0.19989825417751428,0.34101301267496753,4,3
U102,0.5859120650305225,-0.06591113427613275,4,2
U103,-0.42571759282122423,0.0032133680180415763,0,3
U104,0.09142721924341003,0.2731485046468267,4,3
U105,-0.1475477741965847,-0.4060194891157526,0,3
U107,-0.19208899335352456,-0.027949967753069543,0,2
U108,-0.4670417114482447,-0.17133026336993806,0,2
U112,0.11230518383508116,0.03205033234131699,4,3
U113,-0.4757477440003678,-0.20564084149757123,0,2
U115,-0.3012354215928086,-0.3206139319258623,0,3
U117,-0.22819668023084433,-0.1158660796234976,0,3
U118,-0.22192026467412562,-0.10154220827962493,0,4
U119,-0.2944930906779395,0.24627372724648808,0,2
U12,-0.3371115464939233,-0.5178433247767251,0,3
U120,0.065446347989836,0.5685098254115001,3,2
U121,0.12254906842925115,0.23130600775344454,4,2
U122,0.27821930919709453,0.45163534622273427,4,1
U123,-0.24677569078578712,-0.24108123508717108,0,1
U125,-0.19075901029369274,-0.1875170656335751,0,1
U126,-0.23077850008646855,0.00513749853109835,0,1
U127,-0.04639287606307262,0.37357910037780295,3,3
U128,-0.170290662086194,-0.26448641866806244,0,3
U129,-0.22953933987257863,0.10890409088279662,0,4
U13,-0.31562075007061524,-0.12071204236827736,0,2
U130,0.20985503098133473,0.6128620341091908,3,1
U131,0.22631671080413548,-0.009177723464937318,4,1
U132,0.33894234911374593,0.1661011294968594,4,2
U133,-0.3940959479146709,0.06414195562382694,0,4
U134,0.08351202343237168,-0.007511420852833083,1,3
U135,-0.21288050936381572,-0.15691306012237682,0,2
U136,0.3834327154179299,-0.11911364651544175,1,1
U137,0.2235685024485694,-0.10302900533156699,1,4
U138,0.07833253689466717,-0.3421542699582565,1,1
U14,-0.7279000448961126,0.03365099975414402,0,2
U140,-0.22736382188064497,-0.17297764055333567,0,4
U141,0.5453602190701726,0.5228489342059373,4,2
U142,0.3129696899598502,-0.29099965493836344,1,2
U143,0.21834276179582918,-0.3641143390558103,1,2
