ASV,MannWU_stat,p_value,mean_cancer,mean_normal
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Roseburia_NA.4,12517.5,0.48982411415633814,0.029023663764697727,0.041141388381292804
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.311,12511.0,0.4868455898324681,0.04615177751541389,0.049727956254272045
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-002_NA.17,12505.0,0.4835750395447608,0.09058878341389552,0.08948379918405881
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_eggerthii.1,12501.5,0.47749270141173117,0.01889713461142033,0.024879341210168267
Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_NA_NA.2,12499.5,0.4694672142453954,0.027848563865513015,0.023577849447608594
Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium_sensu_stricto_1_paraputrificum.1,12494.0,0.46367035755729896,0.007839134951640986,0.0019987801468906454
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Tannerellaceae_Parabacteroides_distasonis.10,12472.0,0.4603586034096524,0.025873316498316493,0.022245614035087714
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Anaerostipes_NA.18,12452.0,0.45713624911698775,0.07026638938403632,0.09790161678706569
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Eubacterium_siraeum_group_NA.15,12441.5,0.4550161214906523,0.03599998486362122,0.03076186970923813
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_NA_NA_NA.4,12476.5,0.45069392641903633,0.036551595500459125,0.03223684210526316
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-002_NA.25,12424.0,0.4459157036530797,0.02575283059351688,0.0385649581470015
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_9_NA.113,12461.5,0.44206550045807097,0.013509218054672601,0.010479205005520796
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Faecalibacterium_NA.13,12383.0,0.42841040249744616,0.05436972617553499,0.04960995873377112
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_plebeius.2,12422.0,0.4232056326764514,0.006660782118628662,0.003068485865753743
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_9_NA.75,12412.0,0.4224851077337365,0.016035451261844448,0.015789473684210523
Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_Christensenellaceae_R-7_group_NA.43,12416.0,0.421773702097731,0.044607688671813445,0.054236978929125226
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotellaceae_NK3B31_group_NA.14,12437.0,0.4134182330605687,0.007469967322566236,0.0023635504587691107
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Agathobacter_NA.120,12422.5,0.4073016078210637,0.011581475400391752,0.00670902541524915
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-003_NA.5,12335.0,0.40658272647427274,0.12396202750627112,0.14153938604837493
Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_Christensenellaceae_R-7_group_NA.34,12384.5,0.4017081659799046,0.048981448341684546,0.05437215084956486
Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_Christensenellaceae_R-7_group_NA.18,12405.5,0.40036924485151004,0.030991735537190077,0.03691653375863902
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae_NK4A136_group_NA.10,12389.5,0.40015670751921845,0.042477123281372146,0.04050794664962863
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Barnesiellaceae_Barnesiella_NA.1,12399.0,0.39803136044396564,0.01211365919805521,0.009708714168914055
Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_Christensenellaceae_R-7_group_NA.76,12416.5,0.39646302358960517,0.018950684189134266,0.02164875676523649
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.288,12396.5,0.3954733671446483,0.00752419374798901,0.01921847908636279
Bacteria_Actinobacteriota_Actinobacteria_Bifidobacteriales_Bifidobacteriaceae_Bifidobacterium_bifidum.1,12341.5,0.3791746157507754,0.04674560041407866,0.042644655116051006
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Eubacterium_eligens_group_NA.13,12263.5,0.37516853306589887,0.07824390779966481,0.06311256382115757
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_9_NA.109,12297.0,0.3711636731451702,0.018191567924590923,0.01144290078976192
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_9_copri.3,12377.0,0.3711210403275561,0.007684933586148892,0.004352974734421865
Bacteria_Firmicutes_Clostridia_Oscillospirales_UCG-010_NA_NA.81,12368.0,0.3702037146271505,0.01722274753478319,0.027872057558457813
