ASV,MannWU_stat,p_value,MSI_pos_mean,MSI_neg_mean
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Sellimonas_intestinalis.1,2185.5,0.9959443257107113,0.0004406211972372342,0.0003351635239301877
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotellaceae_NK3B31_group_NA.14,2182.5,0.9947826017240939,9.643380378517594e-05,0.0012627782623453277
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Tannerellaceae_NA_NA.1,2188.0,0.9875296007125041,0.00042521638965036467,0.0006152213823554917
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Marinifilaceae_Odoribacter_splanchnicus.3,2192.0,0.9761455199482011,0.00066224836618571,0.000545148313896318
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Rikenellaceae_Alistipes_finegoldii.2,2193.0,0.9743809021823958,0.0019007981020872737,0.0016752391252940035
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_9_NA.109,2193.0,0.9708596297313781,0.0008396829557277262,0.003179017851674394
Bacteria_Firmicutes_Clostridia_Oscillospirales_UCG-010_NA_NA.81,2177.5,0.9697784696370293,0.00010945893883957093,0.00013849502151106458
Bacteria_Proteobacteria_Alphaproteobacteria_Rhodospirillales_NA_NA_NA.4,2174.5,0.9628464930112437,0.00040102993935484745,0.0008733481805973594
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Ruminococcus_NA.26,2197.0,0.960456254770281,0.0009751514518558097,0.0017759111942940887
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_uniformis.1,2164.0,0.9433664680492361,0.023798731719669727,0.018859918866541224
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Anaerostipes_hadrus.3,2198.5,0.9422353078096251,0.00025824974997901243,0.00027295235297688706
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Subdoligranulum_NA.60,2210.0,0.9259849427268194,0.015527907518107705,0.011631632345984213
Bacteria_Actinobacteriota_Actinobacteria_Bifidobacteriales_Bifidobacteriaceae_Bifidobacterium_longum.1,2170.0,0.9219501530394975,0.0005157093344992342,0.0006027592843395676
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-002_NA.25,2152.0,0.9069578420505652,0.0016657471773093332,0.002171823976181736
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Blautia_massiliensis.1,2146.5,0.8927758670665656,0.0035858105740466206,0.0036278576395144314
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Incertae_Sedis_NA.20,2144.0,0.8826153550743617,0.0010032915936058092,0.0014332887901472775
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Dorea_NA.31,2151.0,0.8813431155694251,0.00033918998913762,0.0002855920149836733
Bacteria_Firmicutes_Clostridia_Clostridia_vadinBB60_group_NA_NA_NA.20,2225.0,0.8807406691771933,0.002917045274987183,0.0039028845296450038
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Rikenellaceae_Alistipes_NA.47,2226.0,0.8798239021421055,0.02166444327702741,0.01039815508853057
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae_NK4A136_group_NA.20,2217.0,0.8775286800114749,0.0013640045118409319,0.0006273682625131695
Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_Christensenellaceae_R-7_group_NA.10,2211.0,0.8766634000655413,0.00023301769435537753,0.0005812708780241324
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Rikenellaceae_Rikenellaceae_RC9_gut_group_NA.31,2157.5,0.8695947654007079,0.00012301037023430586,0.0009015544551686539
