ASV,MannWU_stat,p_value,Cancer_pos_mean,Cancer_neg_mean,Cancer_pooled_stdev,Cancer_cohens_d
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Rikenellaceae_Alistipes_putredinis.1,18238.0,8.502141748342095e-09,0.014708179919422245,0.007828715756232988,0.010145804394830291,0.6780600034724334
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Coprococcus_catus.1,18226.0,8.154330560069875e-09,0.0012967919765104387,0.000752941421579935,0.0008568925980804121,0.6346776202161428
Bacteria_Firmicutes_Clostridia_Clostridia-UCG-014_NA_NA_NA.53,17248.0,3.2451037091475435e-08,0.0006781008365451528,9.561608663512968e-05,0.0009634263715063626,0.6045970581013685
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae_UCG-010_NA.4,20370.0,3.8524061465456255e-16,0.003163858851796365,0.0010053807963392547,0.0036235285028955472,0.5956840283531036
Bacteria_Firmicutes_Clostridia_Peptostreptococcales-Tissierellales_Anaerovoracaceae_Family-XIII-AD3011-group_NA.12,15466.0,3.504670939464477e-05,0.000246713313713949,1.658659374337638e-05,0.0004000886810947889,0.5751892788890247
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_NA_NA.13,18873.0,8.981555622805983e-11,0.003123269655631739,0.0015042787537566885,0.002817224673410829,0.5746758209081456
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_NA_NA.32,17679.0,1.7206604492511982e-08,0.0010146514963726085,0.00026424395719028883,0.0013359128600957967,0.5617189276316338
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-002_NA.2,18026.0,3.34417313548133e-08,0.013817114615228745,0.007442261790898725,0.011732289941427072,0.5433596387539164
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Blautia_obeum.1,17424.0,1.2174047469500064e-06,0.0030129335445091914,0.0018748308594058087,0.0021608866929033283,0.5266831846579834
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Ruminococcus-torques-group_NA.19,18300.0,5.6194129155884244e-09,0.0044235289368527615,0.0022575991241484033,0.004116025516065239,0.5262187525928905
Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_Christensenellaceae-R-7-group_NA.128,18943.5,5.119083457065403e-11,0.004377840096863539,0.0013271533988072728,0.005838747007049022,0.5224899613518488
Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_Christensenellaceae-R-7-group_NA.2,19439.0,1.2723155730541948e-12,0.013956524246533292,0.004241885620327265,0.018651335371277174,0.5208548574578982
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_NA_NA.16,16210.0,0.0003689040137766385,0.0012758194438594632,0.0007009585073633281,0.0011324283288601635,0.5076356020471129
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Eubacterium-ruminantium-group_NA.2,17880.0,7.973134610835608e-08,0.004661655753445041,0.002349650964704047,0.004560198842838294,0.5069964859913848
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Eubacterium-hallii-group_NA.10,16147.0,0.00011933131760370428,0.0005108565345630378,0.00022540578706270188,0.0005787925144554911,0.4931832053302876
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-002_NA.64,19243.0,6.1054648789171975e-12,0.004927177969172665,0.0025230800686174277,0.00494541279973936,0.4861268407526954
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Marinifilaceae_Odoribacter_splanchnicus.3,15636.0,0.0015666053497582276,0.0005901778197446151,0.00027306443098815386,0.0006633548266972699,0.478044895422431
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Incertae-Sedis_NA.23,17283.0,2.222350500911572e-06,0.001359722108029843,0.0007905128404180254,0.0012090935704180126,0.4707735460168135
