ASV,MannWU_stat,p_value,MSI_pos_mean,MSI_neg_mean
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Sellimonas_intestinalis.1,2185.5,0.9959443257107113,0.00044056050529975126,0.00033506825683640625
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotellaceae-NK3B31-group_NA.14,2182.5,0.9947826017240939,9.643380378517594e-05,0.0012627670944060619
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Tannerellaceae_NA_NA.1,2188.0,0.9875296007125041,0.0004232890176874221,0.0006147764078213588
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Ruminococcus_NA.26,2190.0,0.9825950036879328,0.0009678494909923218,0.0017754557729992705
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_9_NA.109,2190.0,0.9811420286237614,0.0008334214131347505,0.0031768517866239626
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Marinifilaceae_Odoribacter_splanchnicus.3,2192.0,0.9761455199482011,0.0006612035917924391,0.0005440682683051856
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Rikenellaceae_Alistipes_finegoldii.2,2194.0,0.9713681166231135,0.0018994942447976132,0.0016746690138566172
Bacteria_Firmicutes_Clostridia_Oscillospirales_UCG-010_NA_NA.81,2177.5,0.9697784696370293,0.00010945893883957093,0.00013844470770806998
Bacteria_Proteobacteria_Alphaproteobacteria_Rhodospirillales_NA_NA_NA.4,2174.5,0.9628464930112437,0.00040084388395071597,0.0008712781000893032
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_uniformis.1,2165.0,0.9462662382543521,0.023751028637238426,0.018804275986854007
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Anaerostipes_hadrus.3,2198.5,0.9422353078096251,0.0002581255157599139,0.00027289522501679165
Bacteria_Actinobacteriota_Actinobacteria_Bifidobacteriales_Bifidobacteriaceae_Bifidobacterium_longum.1,2170.0,0.9219501530394975,0.0005157093344992342,0.0006026976345371623
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Subdoligranulum_NA.60,2213.0,0.9173068879278327,0.015508347679569517,0.011608106937245396
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-002_NA.25,2153.0,0.9098987673053954,0.0016613378263728867,0.0021679987497026493
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Blautia_massiliensis.1,2146.5,0.8927758670665656,0.0035786171468294493,0.003618604884901393
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Rikenellaceae_Alistipes_NA.47,2223.0,0.8884522920672281,0.02164237237272452,0.010378685811009649
Bacteria_Firmicutes_Clostridia_Clostridia-vadinBB60-group_NA_NA_NA.20,2223.0,0.8865891597065944,0.0029162851236488093,0.003901645247714985
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Dorea_NA.31,2152.0,0.8849682915216835,0.00033867532881728317,0.00028490121099532836
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Incertae-Sedis_NA.20,2143.0,0.8796659467778947,0.0010030712001464995,0.0014324032675050115
Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_Christensenellaceae-R-7-group_NA.10,2211.0,0.8766634000655413,0.00023301769435537753,0.000581132171813801
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae-NK4A136-group_NA.20,2218.0,0.8737914467605471,0.001362871027972423,0.0006261140854434546
