ASV,MannWU_stat,p_value,mean_cancer,mean_normal
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_9_NA.109,13016.5,0.998953920019928,0.003329944110594269,0.002054610045592451
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_9_NA.75,13023.0,0.9912064614749935,0.0014194548647852216,0.0017548688976089675
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_caccae.2,12992.5,0.9802443938917809,0.002636037483438081,0.0023129525123463386
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Roseburia_NA.20,13044.0,0.9745055605041928,0.0014183837723637821,0.0012342853740664472
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Roseburia_NA.19,13052.0,0.9673748842975778,0.001462455611272558,0.0015185454344806054
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Faecalibacterium_NA.8,13053.0,0.9665530253937376,0.002751878677008787,0.0030067633601554068
Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium_sensu_stricto_1_paraputrificum.1,12989.0,0.9604398278686235,0.00090429940146274,0.00015506576189389305
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_UBA1819_NA.4,13061.0,0.9583416967929071,0.0011778100190173934,0.001109751041840144
Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_Christensenellaceae_R-7_group_NA.76,13042.0,0.9576604119520775,0.00015695392150445994,0.00016048860197299294
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_CAG-352_NA.8,12929.5,0.9233923161773778,0.0028208942390410123,0.0036850728136762234
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Hungatella_hathewayi.2,12963.0,0.9216590940778178,0.00021733981382080405,0.00015203359158998543
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Rikenellaceae_Rikenellaceae_RC9_gut_group_NA.48,13117.5,0.9017246275141038,0.005263300785703723,0.006675751362791806
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Rikenellaceae_Alistipes_inops.1,12908.0,0.8906909710178921,0.0006338206042859251,0.0006450694209342963
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotellaceae_NK3B31_group_NA.14,13083.5,0.886887055339982,0.0009294717334087974,0.0002004250176866137
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnoclostridium_NA.92,12898.0,0.8702468331202488,0.0004190997840791987,0.000384446336006319
Bacteria_Firmicutes_Clostridia_Oscillospirales_Eubacterium_coprostanoligenes_group_NA_NA.17,12861.0,0.8639479230774385,0.00578456704504628,0.00614397945789667
Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_Christensenellaceae_R-7_group_NA.43,13127.0,0.8635614614605082,0.0002967875766161924,0.00023290379286030138
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_NA_NA_NA.4,12924.0,0.8627943308194173,0.00025545975666476837,0.00021623854385591432
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Tannerellaceae_Parabacteroides_distasonis.1,12881.0,0.8600562271360277,0.001096060743937391,0.0013086778567012662
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Eubacterium_hallii_group_NA.9,13183.5,0.8512466331371551,0.0029864499926090075,0.0029497603218235934
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.288,12903.5,0.8414868160064697,0.00029217266490788943,0.0005971682396405261
Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_NA_NA.2,13127.0,0.8342851933431708,0.00027421950137906096,0.00014454100277349786
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_9_copri.3,13129.0,0.8218997061114741,0.0009797402533851113,0.00056377862987995
Bacteria_Verrucomicrobiota_Verrucomicrobiae_Verrucomicrobiales_Akkermansiaceae_Akkermansia_muciniphila.2,12799.0,0.805987719345556,0.008725236590341101,0.007495377493127998
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_9_NA.113,13160.5,0.7938990687803171,0.000740952130806041,0.00045859173844452233
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Agathobacter_NA.120,13150.0,0.7936110191257486,0.0002610782633033163,0.0001633234902258451
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-005_NA.40,12864.0,0.7829739699065537,0.0003068120950931672,0.00019093312699950955
Bacteria_Actinobacteriota_Coriobacteriia_Coriobacteriales_Eggerthellaceae_Slackia_isoflavoniconvertens.1,12832.0,0.7824168069722331,0.00034384720061295966,0.000500744216817599
Bacteria_Actinobacteriota_Actinobacteria_Bifidobacteriales_Bifidobacteriaceae_Bifidobacterium_bifidum.1,13201.0,0.7779697623237563,0.0007117060119328563,0.0004992833825101979
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Anaerostipes_hadrus.3,13194.0,0.7708529098413749,0.00023947460822711618,0.00022073618854596
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.396,12823.0,0.7443629285632443,0.0008035906883978449,0.001097313312631542
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Faecalibacterium_prausnitzii.5,13308.0,0.7440487271064996,0.03658539612377083,0.03490670001640384
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Tannerellaceae_Parabacteroides_distasonis.10,13266.5,0.719415068135715,0.0007475298789307052,0.00044368141112759906
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_eggerthii.1,12755.0,0.7083201623260993,0.0007794048249023902,0.0012860552568800426
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Barnesiellaceae_Barnesiella_NA.1,13228.5,0.7053934889969422,0.000597013295415363,0.0003470643257291196
Bacteria_Firmicutes_Clostridia_Clostridia_UCG-014_NA_NA_NA.103,12816.0,0.6966613473083908,0.00017745813442664784,0.00017772761270388543
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Eubacterium_siraeum_group_NA.13,12781.0,0.6870150964382398,0.00027649942596853273,0.0002882152421726584
Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_Christensenellaceae_R-7_group_NA.18,13245.0,0.6792424975212561,0.0002152015646921993,0.0002267757201636016
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Rikenellaceae_Alistipes_finegoldii.2,13378.0,0.6759009147682973,0.0016651970468478721,0.0015254607378650791
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Tannerellaceae_Parabacteroides_distasonis.3,13381.0,0.6713276785119475,0.0014087347260068647,0.0009822377095618287
Bacteria_Firmicutes_Clostridia_Oscillospirales_Eubacterium_coprostanoligenes_group_NA_NA.10,12626.0,0.6643233665446611,0.004823516758722555,0.004447481640849419
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Bacteroides_pectinophilus_group_NA.1,13229.0,0.6551601338051117,0.00028174953244537303,0.00016371382796081933
