,U299,U300,U301,U302,U303,U304,U305,U306,U307,U308,U309,U310,U311,U312,U313,U314,U315,U316,U317,U318,U319,U320,U321,U322,U323,U324,U325,U326,U327,U328,U329,U330,U331,U332,U333,U334,U335,U336,U337,U338,U339,U340,U341,U342,U343,U344,U345,U346,U347,U348,U349,U350,U351,U352,U353,U354,U355,U356,U357,U358,U359,U360,U361,U362,U363,U364,U365,U366,U367,U368,U369,U370,U371,U372,U373,U374,U375,U376,U377,U378,U379,U380,U381,U382,U384,U386,U387,U388,U389,U391,U392,U394,U395,U397,U398
U299,1.0,0.4958737114470998,0.5645198424912539,0.4939961798129857,0.6185320185519766,0.5356954563293057,0.5460227642161743,0.38273435502490777,0.46576756820867243,0.6023464606403899,0.6122109322799331,0.673618314319092,0.5830611322448797,0.48213519778940234,0.38014771835173683,0.6281614743140503,0.5053407619690421,0.40223022148964566,0.3112791360146538,0.1977705694133697,0.665057544544511,0.46732138420097463,0.5137912730076336,0.3432883736407267,0.3266861492627238,0.5465763479969742,0.6874010924518426,0.5745710572947328,0.571777053860366,0.4918699110044094,0.14130740487319687,0.28616560161661686,0.4694295898845828,0.1243333001219245,0.36312038212648357,0.18929899780583465,0.4279596455035669,0.39945572379944067,0.22276837919392295,0.7171016165432895,0.47902222508795694,0.23206847365254443,0.4765871589544233,0.4162053359962548,0.1852842812094121,0.1487645811127262,0.6091213420567089,0.6414938467135262,0.4011679974463161,0.4694313226134637,0.5219875419244292,0.41304792772453863,0.5394014494977197,0.3935107973765343,0.40091262293763863,0.5451142052607569,0.6913573371021894,0.5078900107838399,0.1298895895056198,0.4643547883885533,0.216240979205987,0.2767672494245532,0.5041983136379361,0.43322900712981255,0.38125468405681,0.2154854015976838,0.7019051853293251,0.3491594587767541,0.47105755206618594,0.4407803505646992,0.3664777267398283,0.5812732959279625,0.6496799545895905,0.5126802991365178,0.32511102105065004,0.43840979844250166,0.33043334154785464,0.6162330998799306,0.4790911111995431,0.208302092238566,0.35885810363156273,0.6642043463870992,0.24288660697748962,0.40667459395094113,0.7218058803778999,0.6922546923056424,0.6275462200587122,0.6028161049170098,0.6237487713838592,0.7460641027281474,0.5829587330980089,0.6244094933973517,0.2438077313120363,0.5563081227165441,0.1671454713144465
U300,,1.0,0.6484955148024405,0.8258832684432752,0.3505151562808446,0.745176909831963,0.6640261702915904,0.41247509245236613,0.4753261046659519,0.5797184353596221,0.52092618623463,0.8275969623284403,0.5910227873232486,0.37287351999523266,0.7640705895023424,0.5070314355360951,0.7166458968306556,0.4246965998641455,0.2778210511543205,0.2004571152523629,0.18323909514059455,0.5514750611401239,0.585471745962537,0.45662722389280763,0.5130228466449486,0.7943749053777722,0.3684876373593758,0.7142846206259206,0.5761917039290005,0.20680255127506203,0.18726504234851818,0.4930451909340727,0.8957216997037689,0.24479947255029125,0.3912716191168202,0.34228492440324626,0.658815173466516,0.5178340101372169,0.5003262317154538,0.3756445498247296,0.7084915917341702,0.3275755768521017,0.5706602277225148,0.5553196320936514,0.15070568493226041,0.19272986557687977,0.5248723775118423,0.14920499636645057,0.396565328193929,0.34204041714800804,0.6669694066450343,0.7417968994508235,0.7485569694967978,0.8218525842133567,0.601868134383156,0.7320372780861139,0.554229060438841,0.7489261636096725,0.17740205052968383,0.5392467532785172,0.2742447147844595,0.39177596292632033,0.7880144543413732,0.6731143449701179,0.6121134692380795,0.18006793259111287,0.5030296868100478,0.4289672854504095,0.4924502732949397,0.5587303205087688,0.6877755324539799,0.7773509587547602,0.681306570506938,0.3457043082480785,0.46182899912050895,0.6425602802338395,0.7717456974678335,0.21165274846295332,0.557463270825946,0.4244646955565111,0.6001019585842754,0.6072734003535458,0.4828017985662731,0.5840646050362079,0.5924996769548384,0.23247552034422958,0.49576701389341726,0.780876692959236,0.6919504878057554,0.5439296341717355,0.6406589389648792,0.6200000319965209,0.2577483197028476,0.44560180554423634,0.12377698738744704
U301,,,1.0,0.49117623202085453,0.19479617397435017,0.5830063460685115,0.629192421546973,0.36507932480597527,0.49328034646211955,0.5362186245994962,0.44688746609671887,0.6439952056472322,0.5873672597538067,0.20609664652297838,0.2989838535642687,0.35768574302263145,0.6154828540955626,0.34044654739744756,0.2352279320845331,0.1609410035381267,0.18231424605713328,0.46715706038148386,0.6230547589749232,0.3843239946180461,0.2345256326513108,0.6008370966463444,0.31915208678593215,0.6083261372977748,0.5330508123965825,0.1636288088539844,0.06080397591495097,0.24394620156296104,0.5926185350432639,0.13306873095254168,0.3124063696512185,0.22601254561906087,0.5344633258564335,0.3974467322566241,0.2583866815306958,0.46636952527810344,0.5385593062118104,0.3242157058084321,0.5909067682238165,0.4660801169003723,0.14889495767795374,0.16879069411333833,0.6195914735488273,0.1565087972843456,0.44598354677023605,0.47914516959884274,0.5164446590315865,0.3939902291352015,0.5897379241346241,0.5137442908213881,0.5200257726873734,0.5533948335371213,0.5387381589763934,0.5254223277416145,0.1421541032692215,0.5535637486088044,0.21858544328791332,0.3068714246555144,0.6642482008236947,0.4705598970170487,0.5233229864278817,0.17618515419816883,0.5009612786691681,0.4253062766097027,0.4211913384494536,0.4748973844182689,0.5845719928589348,0.673750708690789,0.48380595426932255,0.3177400441750103,0.4663082839572752,0.6568545588702186,0.3092849050118623,0.2042046792603754,0.6122975477528539,0.3063271639354597,0.5626827037803275,0.6826136014971892,0.23512497323399306,0.5737983385907917,0.6474966559460515,0.2427653849228747,0.590696350046774,0.6571604930317527,0.6607351796283485,0.4594951371176639,0.6257754602607407,0.5944868327314676,0.259263134832365,0.3559246700777522,0.14171515285926667
U302,,,,1.0,0.4449799096794896,0.7947216245885895,0.6679779156767967,0.5281300057588613,0.6232089405076221,0.3216935393061139,0.517982558958171,0.825416663872072,0.7330929236893595,0.4154866118979563,0.878533241511741,0.5414596099371143,0.5952246612382667,0.49471459722259814,0.3474595431657607,0.1884398788532975,0.1936608968511249,0.5832675125709816,0.7010716991575814,0.5113558272065762,0.5969766622040804,0.7201460610602554,0.4456695770189184,0.7747068941653866,0.682358631923836,0.2004031465219913,0.1617935347739495,0.5230490452102411,0.7644341928746032,0.2503177651681015,0.4759050767681004,0.1942171108641656,0.37246531582601794,0.5273686132630221,0.5513911552794007,0.41559595526753657,0.7758717861944415,0.3045889188547007,0.39845912401415395,0.5339937310313361,0.15312642466553467,0.16404346087045613,0.44105381078550976,0.2105249452401182,0.5021236709080599,0.3147360528221155,0.730631489842153,0.8189926183846538,0.7219710399067678,0.7715661834938872,0.5469216249457657,0.6640024041133205,0.5752734622153868,0.8392854758436449,0.20189231888188802,0.5113527628531008,0.29785405062754017,0.35599529884779224,0.6598083195961241,0.6961399166702626,0.4692139469963039,0.1461855737659947,0.41412899644366835,0.338953836811436,0.5546511982452713,0.4337482785049659,0.36022486045486757,0.5800522137343134,0.7584949584702833,0.3356895675391875,0.3031531520355801,0.5229942694290494,0.8389347513245954,0.22273255751539806,0.398295518198159,0.3119280465423092,0.3585204705769878,0.4097694679858834,0.5555042719394285,0.5038005192458407,0.579860609003161,0.32243209914321025,0.44276753224007054,0.8381759546577097,0.6161759234740485,0.6677981858998167,0.5238835918724833,0.624412551388872,0.2349484883194102,0.5389336229842127,0.07572879459889562
U303,,,,,1.0,0.3264316880120045,0.2779450388869413,0.24901931360806043,0.2808746582783873,0.4800747856114118,0.41529214217783283,0.36852149872735473,0.42878204661022207,0.6057469395759788,0.46292458008826176,0.23686655340555557,0.2617295319628253,0.2863753114581097,0.5402776219984858,0.14158602745284446,0.8314408601296913,0.32083055668236166,0.3434564827265776,0.26886777210423707,0.3753973400998075,0.33582115004838564,0.7459710094628094,0.39211000211778424,0.390680280935795,0.11325498570461232,0.175123603933616,0.2809991225254902,0.2841992618090893,0.09595311599407741,0.31368491429086015,0.08251856595614084,0.26775338630233847,0.28198736991432805,0.2528380575761493,0.6787950216450821,0.32536009314614317,0.14344995946579142,0.1419571512261513,0.21400346029895317,0.16470077432191232,0.07960822386069318,0.2687071499570269,0.8608048203706137,0.19173250324559463,0.12314716622741295,0.31195565951363063,0.3660354698162414,0.382013758983996,0.2735882080981211,0.25370537696347434,0.3855955180017682,0.6272177748303287,0.37787434690383664,0.08267091050357502,0.21815579801761306,0.12650068281707746,0.20007416151630153,0.2326404198692383,0.2600042492469355,0.21596352015059556,0.14832450934864036,0.6715291399388355,0.15341488788166777,0.36249491779518495,0.5727845421569037,0.13702170107247008,0.2463768154064061,0.5930609291624237,0.5778603181080921,0.13775226682023906,0.22691948991152994,0.39077728859995514,0.8043025275253073,0.13197596785749224,0.13467090912456978,0.1347122052142462,0.3462397594072379,0.2191529656421461,0.18591923444246528,0.5422552379876832,0.868211740876601,0.33461967885636984,0.3593934177492074,0.30814088688171093,0.7917283347696054,0.33670352235976375,0.6216496834786895,0.10667626958539494,0.480587487600892,0.10914342457557366
U304,,,,,,1.0,0.7536442949157275,0.4932385976442168,0.6946063322498842,0.41012445720612195,0.5810365889342582,0.7804709577726966,0.6624461035825031,0.3057702639114826,0.6987599092940758,0.5984557083418542,0.6121680660329593,0.41928556886506063,0.3476770327252434,0.21906583479246375,0.12896358729953594,0.577648958377348,0.6344567514579442,0.45290799837310247,0.611413922418442,0.7455963080527837,0.41827549183491364,0.7385710592423308,0.7128252745892492,0.2613224010667832,0.1037744223733175,0.4586578581421135,0.723143203927222,0.40927434691240977,0.501409561323482,0.3011224538520001,0.42913071922991725,0.5030836243356006,0.5529070221814647,0.4486306833270117,0.7364864669486619,0.3382518639287376,0.49492018725603243,0.5686001496172833,0.3639009664035625,0.2926371750384771,0.5487651046182864,0.15738498793459554,0.6439071318988856,0.40399279727180154,0.7004756127853552,0.7572715336649396,0.7738915015891292,0.6719764913238218,0.6602903921739219,0.7052855487775448,0.5484077957780988,0.7914391599566833,0.1971390266932008,0.6290800483065394,0.32110816370029593,0.46385808688829533,0.7188450312847919,0.7166240909846489,0.6594573960520106,0.3569707195376416,0.4897863378520353,0.444207922138188,0.6355106842927868,0.46713189057118376,0.43191203911128073,0.5948046032134282,0.7426560046285229,0.3149590857217714,0.483655906586235,0.5620937373695658,0.6661097279773514,0.18523882031712977,0.4919945930788205,0.3291674475829574,0.47881092325067576,0.5245044227670844,0.505303693527421,0.5790302901783193,0.6236357725300057,0.2550070064001143,0.5492279946152857,0.7851753015093358,0.6838455896006026,0.5661893051647151,0.6194562978880509,0.65929083977343,0.2709943092127186,0.5797363960533584,0.2473492843030674
U305,,,,,,,1.0,0.4923085797212766,0.680594682653691,0.48262336049819005,0.6313448099362907,0.6906660585677346,0.6310130830070422,0.28147233381138514,0.45254582858568854,0.4484899218008893,0.8443421396576914,0.40241098564329697,0.34345175309498926,0.1832766894517467,0.18304319611506575,0.5046031691479727,0.6396465484627342,0.44684459938694,0.362567202409903,0.679922186555693,0.4828580217847152,0.7068911148752393,0.6906122053955424,0.15918583274169287,0.09017355871822004,0.3225580343012283,0.6566183603212861,0.19652332201352204,0.4567476633219862,0.2552861707627377,0.5229827004154771,0.41634868826993227,0.2986177812641179,0.4447639521626101,0.6491160184234077,0.2847058969381224,0.6861932374259726,0.5843378973674057,0.21308077283965124,0.1882190127237269,0.5906677754336765,0.1830519716135022,0.6164374535883952,0.2886731513803945,0.5621897622644941,0.4684216572056937,0.6531006738788068,0.5703396296529842,0.5040178044426834,0.6277281756063614,0.5421047719815955,0.6357705946573619,0.15057358033954238,0.530483489106185,0.2985408879201201,0.3228037024862122,0.7268933266681544,0.6931988946758062,0.5839801537447663,0.20544263383475647,0.5748364861299706,0.4198213273694096,0.5168100284522245,0.4728733398443926,0.5350727017914036,0.6855030344125662,0.6837937490100257,0.36324205616793775,0.5295366069185243,0.48892540343092067,0.42636892760702866,0.22591650573704083,0.5708881948320109,0.30108867713536824,0.5130983994741476,0.6238402672419426,0.40985039840907417,0.663850107962333,0.6111499031817721,0.2854883196897766,0.5105297838175465,0.7133626412433706,0.6621362398158765,0.5420648162564248,0.6905300826083896,0.6465874521503127,0.242689112721514,0.44599959088451857,0.13249795217517263
U306,,,,,,,,1.0,0.5759692401140452,0.19555720503931945,0.324660379504817,0.43525415507413406,0.5178799278169958,0.2697838655232466,0.3259587854460191,0.2809452773320958,0.3434856927589354,0.3771503853338013,0.23751644270458278,0.0814846852872137,0.13767951798630784,0.3060428682552367,0.5134135926767094,0.284292578712075,0.2664593160691464,0.37580325187340413,0.2520356126710864,0.6822296440804034,0.4879767471425564,0.11205863691963162,0.1523924977181379,0.21221185641606596,0.3649463171833869,0.23135856830373056,0.32965512231270044,0.23712096816512243,0.19996959678041545,0.278500621849298,0.21533772189461436,0.28804295529885404,0.4628860933948925,0.16057593722508814,0.2476874870136347,0.3718468654411033,0.11977091356306308,0.09952420517528407,0.30032806486209146,0.146936371125828,0.41961552445956946,0.18817302118785828,0.40640406824276487,0.3257907006583857,0.39625572211290805,0.36060396110528925,0.3188670132705739,0.3683125316900181,0.36615978843827524,0.44402452962757866,0.11711372970549744,0.3603520367046058,0.1780276335775138,0.18808123435404506,0.3754377701752749,0.4240115665896415,0.32989460314773245,0.10808380448086899,0.31468231645612516,0.24214426511653755,0.3479971553697895,0.2876313619797016,0.2004848348501257,0.305076288834289,0.4331315682457274,0.2232905573610251,0.22477485805088532,0.26737029792391315,0.3127211858807706,0.12184900113775829,0.29556693194077327,0.1732160043178392,0.41053847135756344,0.3071718666842693,0.2997063674559528,0.39446344955856694,0.3696296197655182,0.23429069613176712,0.30791380051356576,0.4881482213807149,0.4039458728134248,0.44849231452391014,0.3284495692516397,0.4131374734143332,0.1384356070283391,0.3127709248752789,0.04654194666148242
U307,,,,,,,,,1.0,0.2021134454024191,0.4467411437810956,0.5924959060820425,0.6707250473397471,0.23218694748129168,0.38140481646300217,0.37906169862973094,0.4295073372516365,0.36313892863093544,0.4108822891165776,0.13765057810219178,0.11314139901524788,0.43311780103613173,0.6728481156060624,0.3535177655576211,0.4037726468346684,0.5043866654802128,0.34393825896322505,0.7232601138278975,0.8182280309163283,0.14617434118596953,0.07072133934719119,0.2805881130005227,0.3837604312139525,0.15173904084500925,0.42696089958188305,0.17517851851352176,0.2062085025353143,0.357867200413785,0.31062544093944283,0.4057180417755773,0.6385747903393016,0.25327484621848784,0.32278913320158353,0.4998922945014997,0.29364785116625586,0.15896062923923912,0.4344876396968625,0.16200476962840915,0.6293262813946147,0.27709967907147715,0.5670844848501484,0.44676052379758596,0.5569056393708917,0.3858290708671299,0.5011695573660886,0.44694427099224837,0.4505044668754493,0.6071389169602591,0.14036995293171997,0.5904168888340404,0.2963196171222009,0.37781817467040624,0.4811688331856254,0.6163942537512719,0.39788032802128803,0.27644305842355577,0.46037879640697005,0.3084493635864431,0.4955230249290488,0.30501660627378513,0.2070177700215353,0.34958343058134184,0.5865792110329426,0.23771211247247379,0.3443108214513231,0.3534153798388467,0.3622089735047162,0.1533209118407548,0.4180277133419753,0.1727386611682709,0.2586232970408007,0.39430000993180553,0.2913636935451629,0.47889974939761265,0.5643469664473566,0.29745749690609535,0.5006218589541952,0.6802003184372238,0.5639716751086952,0.5852894469107753,0.5477658029693507,0.6122328156638518,0.2388207382658036,0.4825969012857657,0.19415433541735383
U308,,,,,,,,,,1.0,0.5975279776597282,0.46684515000350135,0.328778346405401,0.4724458473524264,0.24651947943287916,0.28300599343972177,0.5969429675544045,0.3545394218241951,0.21913319323934916,0.23900456068917467,0.6144949577663892,0.30039458009294656,0.30943809414146056,0.32105600787975547,0.1825714362089755,0.6282161112223958,0.5193081657016497,0.392689308347982,0.37094425470976783,0.16670877541513776,0.22404027161583406,0.21248920260509407,0.6348219515786454,0.2659413160486061,0.26179303035425505,0.28702886487700635,0.8777588873597703,0.30607741142664624,0.12482601114654882,0.5029647048780472,0.24658275378942035,0.15501461764931843,0.6300908344613935,0.3979456442311026,0.10938641967459464,0.14409849339762307,0.531756692487316,0.52221900056423,0.1860542224805991,0.272211196677979,0.24649095962929568,0.2555906814031593,0.5301411303696105,0.47444794378368166,0.27567149666754165,0.5819955954817334,0.5768810195345253,0.33921403591476296,0.08006675154043401,0.25455697594975424,0.14268377759509343,0.22740508870569087,0.6828355825118615,0.4008702372418302,0.6805596882631831,0.16757300588593319,0.8128773616706821,0.48676574012221585,0.3654217884749521,0.5585198976264891,0.842402876922307,0.7021146874287532,0.5207052739722088,0.5106760207905942,0.5358874806525247,0.3641188767977276,0.23583252555573903,0.5618142661657386,0.5997401843175886,0.32851715876243637,0.6179321179897895,0.6867927880624134,0.1795109119791557,0.42831190217090576,0.5703533608360041,0.5297638195968192,0.48491654916409266,0.4294797262617321,0.5510761152804701,0.5178209415316335,0.6125792527478061,0.5282921844023744,0.17734257856427335,0.36333019260389116,0.1432929161365408
