,U299,U300,U301,U302,U303,U304,U305,U306,U307,U308,U309,U310,U311,U312,U313,U314,U315,U316,U317,U318,U319,U320,U321,U322,U323,U324,U325,U326,U327,U328,U329,U330,U331,U332,U333,U334,U335,U336,U337,U338,U339,U340,U341,U342,U343,U344,U345,U346,U347,U348,U349,U350,U351,U352,U353,U354,U355,U356,U357,U358,U359,U360,U361,U362,U363,U364,U365,U366,U367,U368,U369,U370,U371,U372,U373,U374,U375,U376,U377,U378,U379,U380,U381,U382,U384,U386,U387,U388,U389,U391,U392,U394,U395,U397,U398
U299,1.0,0.49577640796019085,0.5643881727637236,0.49389296831961327,0.6185122557327627,0.5355485277048989,0.5458825138133059,0.3826134191597506,0.4656316596618276,0.6023037008399171,0.6121313742645356,0.6735162181574229,0.5829245801631519,0.48206495450677617,0.38008993003947716,0.6280723989427792,0.5052020292152164,0.402084613161753,0.3111429471887931,0.19763727898016492,0.6650615501778381,0.4671566988736662,0.5136273489806065,0.34307962979210394,0.32659526610372386,0.546450298587016,0.6873256989945943,0.5744232280382507,0.5716288469098688,0.49179313692851795,0.1412459784000005,0.2860427581315334,0.4693286717677629,0.12417322532189322,0.36293506532845576,0.18915721089684515,0.4278818770886163,0.3992904520053936,0.2226674487155723,0.7170236668529678,0.4788736932791792,0.2318461278342053,0.47645378208508465,0.4160246511602141,0.18517698345814967,0.14863990782008177,0.6089913207814912,0.641482098094316,0.4009817459793796,0.4693505475663584,0.5218519026728948,0.41293160173831195,0.5392709689210614,0.3933670270772036,0.400739388618872,0.5449903314820439,0.6912602367533952,0.5077653086508482,0.12976297133293546,0.4642184101104746,0.21608624436207094,0.2766034324216856,0.5040715809739799,0.4330641596263511,0.3810712860642654,0.21537223308092132,0.7018371390669975,0.34902399977719906,0.47087913623452315,0.4406372732814558,0.366496727668047,0.5813368812213631,0.6495905601536571,0.512581569069929,0.32497492587239873,0.43827996239975303,0.3304432608574847,0.6162048825827393,0.4789755015371169,0.20817288450496868,0.3588953744362817,0.6641869634586522,0.24274163741569166,0.4064897428170616,0.7217149310619341,0.6922361594394913,0.6274481535817305,0.6026985955379034,0.6236297132587355,0.7460000009085883,0.5828336630478483,0.6242843573766221,0.24365573573454416,0.556194406448937,0.16706100172975935
U300,0.49577640796019085,1.0,0.6484306289682263,0.8258569508748348,0.35046082854382526,0.745135878323945,0.6639648532395916,0.4123900349150855,0.4752327662081739,0.5796748291351459,0.520851940230433,0.8275758731528783,0.5909428134881983,0.3728027090217211,0.7640590557214783,0.5069469748329266,0.7165964984781741,0.42459732407651474,0.2777166175664964,0.20035974874248677,0.1831817025350029,0.5513867873439383,0.5853900415591489,0.45651435461407924,0.5129732119359117,0.7943416473450001,0.3683776717031581,0.7142412141189279,0.5761072679418264,0.20670519770524504,0.18722157942626383,0.4929807567336801,0.8957067616600662,0.24470007199692131,0.3911507046154795,0.34220127824480256,0.6587793723263866,0.5177440639709525,0.5002798279727213,0.3755252595279811,0.7084404148927421,0.3274412131002663,0.5705845822309908,0.5552322550417811,0.15062203535874377,0.19264350353062556,0.5247741555421248,0.14913410794058393,0.3964394476323139,0.3419602389998623,0.6669094168334827,0.7417590173868944,0.7485143145513349,0.8218239535565542,0.6017936981536209,0.731991165653309,0.5541405662117966,0.7488838925849403,0.1773149724406445,0.5391652970210609,0.2741409653026399,0.3916773841628846,0.7879794332795459,0.6730553805988891,0.612040615826069,0.17997959592692767,0.5029464338283345,0.42888071713328657,0.4923429498953446,0.5586522844560293,0.6878024838849088,0.7773935212982356,0.6812514376892396,0.34560528983739214,0.4617497380262218,0.6425015640388549,0.7717764957632404,0.21157759934848408,0.557392112027974,0.4243961967861221,0.6001355388800371,0.6072414251297289,0.4827297137290803,0.5839839470255379,0.5924199634488607,0.23239919301064813,0.49567514533533646,0.7808418355744188,0.6918962733867411,0.5438487964248029,0.6405923396772557,0.6199278455800312,0.2576401878527173,0.4455022099212618,0.12370892687379681
U301,0.5643881727637236,0.6484306289682263,1.0,0.4910688872430477,0.19470022823489194,0.5828670591306099,0.6290716541180862,0.3649496639489663,0.49314587461505577,0.536163805111961,0.44676597081013497,0.6438772996965021,0.587224011302944,0.2059689841075955,0.2989105142196721,0.3575223847651371,0.6153699693521719,0.34027812316591993,0.23506846195186112,0.1607941383517501,0.1822370100365151,0.466983506983982,0.6229207006737478,0.38411787100180894,0.23441365253058272,0.6007209865106393,0.3189766505125111,0.6081815208642986,0.5328782107870839,0.16348125169516706,0.06072661933315775,0.24380935129025189,0.5925426919416861,0.13290294077510267,0.3121961021600295,0.22587231198497412,0.5344055059574685,0.3972728027263435,0.258288803912955,0.4662151720837849,0.5384212863137173,0.3240101007940711,0.590798704588047,0.4659060961050227,0.14877623337636303,0.16866446553182002,0.6194570140139831,0.1564112313007002,0.4458020769798918,0.4790646992863271,0.5163007153596197,0.39386513544253626,0.589616110744377,0.5136253175802558,0.5198800293972847,0.5532676145872731,0.5385841156217445,0.525296999777537,0.14202417039004633,0.5534456278807255,0.21842420909512764,0.3067075911273127,0.6641597783851155,0.4703981187106542,0.5231744483412956,0.1760595527306653,0.5008398373688944,0.4251833019162809,0.42098448215087103,0.47475714236449595,0.5846299436758278,0.6738368370828188,0.48366758629924056,0.3175917914261087,0.46619948150243756,0.65677502556984,0.30929443504892473,0.20409974555246993,0.6122107129134228,0.3062129105904881,0.5627571865120667,0.6826029304548717,0.2349718665077588,0.5736585193116762,0.6473727050863651,0.2426625825815723,0.5905838534150458,0.6570538511065812,0.6606216291942361,0.45935060433409647,0.6256573386537029,0.594342833235118,0.2591079102495249,0.3557510456108508,0.14162285692563933
U302,0.49389296831961327,0.8258569508748348,0.4910688872430477,1.0,0.4449340819084495,0.7946883847911973,0.6679124768380316,0.5280589188596524,0.6231394480304473,0.32161786146077886,0.5179045762157443,0.8253907852260155,0.7330451890885393,0.4154186118326383,0.8785348463262022,0.5413773203453671,0.595145184087185,0.49462352174138247,0.34736128865847155,0.18833707515662457,0.19360255906244545,0.5831812586498203,0.7010161287752809,0.5112502875118589,0.5969356829167338,0.7200936270008761,0.44556884344649683,0.774675558037072,0.6822990481014967,0.20030108325178608,0.16174643028255875,0.5229863787869112,0.7643991809984644,0.25021513419729385,0.4757970635648829,0.1941102463258561,0.3723938798971858,0.5272757009698674,0.5513494691558065,0.41547922842726326,0.7758313657636078,0.30444281221593067,0.3983461343762522,0.5338953337226976,0.15303980975674375,0.163950351845778,0.4409253030239278,0.2104577920708577,0.5020171221937472,0.3146492911055482,0.73058113551583,0.818965019032138,0.7219188042418521,0.7715265439971652,0.546830008714031,0.6639385608708123,0.5751843076717968,0.8392576336444707,0.20180476444728462,0.5112616565249575,0.2977495454651228,0.35588626535677814,0.6597456795631028,0.6960816849540885,0.46910297958666936,0.14608974979349265,0.4140259833637709,0.3388493616063902,0.5545542927542157,0.43364183882127133,0.360228494068912,0.5800832625660353,0.758451409243327,0.3355847827945655,0.303046239132326,0.5229116432917942,0.838974692074516,0.22265588237528244,0.39819413721043573,0.31184262500740934,0.35853816805340855,0.4097155596924436,0.5554399562019824,0.5036942736915418,0.5797710038866131,0.32236326147001504,0.44266022082201867,0.838150390767994,0.6160971206871486,0.6677370976314316,0.5237845374635824,0.624335303371291,0.2348323979654044,0.5388472941822673,0.07565331613155218
U303,0.6185122557327627,0.35046082854382526,0.19470022823489194,0.4449340819084495,1.0,0.32635900359598397,0.2778636133234179,0.24895512660225166,0.2808024936361593,0.48004038271871113,0.41524252020816205,0.3684574587155798,0.42873082984966104,0.60572045667839,0.46289586247477793,0.23679070731811444,0.26164991149424865,0.2863058508352325,0.5402424104555015,0.14152207358538035,0.8314338429898884,0.3207574642284525,0.34338621418783566,0.2687833233453845,0.37535658665723604,0.3357539515939154,0.7459626936965017,0.39205166833548794,0.3906214770459051,0.1131883126381048,0.17509406239131375,0.2809439619617031,0.2841390306823554,0.09588047980579262,0.3136125096612148,0.08244696801228894,0.2677033398820149,0.28191192639747636,0.2527922370376192,0.6787828829952806,0.32529038009650346,0.1433482797886051,0.1418652324528812,0.213909582115949,0.16464962872339156,0.07954717024933268,0.2686199189465684,0.8607975554929518,0.1916339344473614,0.12308148244906862,0.31188385741759955,0.36598243476816184,0.3819537038875979,0.2735182937468354,0.25362283904680966,0.3855367417212608,0.6272062004626886,0.37781594350151376,0.08261071065603698,0.21807473360937657,0.12642519912208114,0.19999787131527758,0.23256114023526545,0.25992250102406556,0.21587287745392014,0.1482677863118786,0.6715096868682991,0.15333802313446088,0.3624290563520457,0.572753683761965,0.13701066191171377,0.24637478775400062,0.5930330410836763,0.5778286527316311,0.13767581898123799,0.2268448089718542,0.3907722083511213,0.8042909842239645,0.13189197850227458,0.13460723552528123,0.1347096035803953,0.3462016272770848,0.21908792258017598,0.18581939050561533,0.5422300511437136,0.8682039523805173,0.3345539052359547,0.35932863046993363,0.3080643927217425,0.7917286554955794,0.3366342856855279,0.6216433626286725,0.10659746754384544,0.48054350475787116,0.10909979343224496
U304,0.5355485277048989,0.745135878323945,0.5828670591306099,0.7946883847911973,0.32635900359598397,1.0,0.7535600248736933,0.49313585795488724,0.6945246473953416,0.41004289229513335,0.5809455232881782,0.780394441618047,0.662322416144905,0.3056594159109469,0.6987656722358068,0.5983525936440751,0.6120493561016344,0.41913176976783,0.34753842557393355,0.21892563947231702,0.12887340634269367,0.5775044220465948,0.6343190351479212,0.4527153479948192,0.6113789103346313,0.7455201896160933,0.41812007407549023,0.7384694144153845,0.7127138226678688,0.2611905518911369,0.10370167997847543,0.45856526425442906,0.7230985786478198,0.4091658808800042,0.5012499133992948,0.3009937702907401,0.4290502497287385,0.5029340346231507,0.5528678041280527,0.44846382884146696,0.7364048616312,0.33804065415918866,0.49478038903066435,0.5684524095780179,0.36382235194552365,0.29253235405717704,0.5485960900711739,0.15728376093317586,0.6437845581957744,0.4038939441236499,0.7003831420667257,0.7572326603925987,0.7738223600875364,0.6718968244547553,0.6601828299686398,0.7051992494264789,0.5482490740812921,0.7913857679631273,0.19701522794699558,0.6289792929607791,0.3209650151906936,0.463728971340009,0.7187697492959221,0.7165339581571907,0.6593463887037032,0.3568789822260428,0.4896573950874516,0.4440854116125177,0.6353736614035155,0.46698351722446657,0.43195070670430963,0.5948868982132849,0.7425872967113158,0.31480400638717654,0.48354810772206813,0.561986797297722,0.6661859911064131,0.18512598854223686,0.4918737616383675,0.3290543608023839,0.4788792086210427,0.5244652482795669,0.5052095405890548,0.5788850966058663,0.6234955395420437,0.2549031831829547,0.5490987956177598,0.7851057145063485,0.6837340830455252,0.5660696522279078,0.6193304032694241,0.6591629470657973,0.270835340854743,0.5796201167574259,0.24727421594674842
U305,0.5458825138133059,0.6639648532395916,0.6290716541180862,0.6679124768380316,0.2778636133234179,0.7535600248736933,1.0,0.4922070276809206,0.6805101625332403,0.4825576276404089,0.6312673394662235,0.6905610896192091,0.6308817271444082,0.2813582305535438,0.4525013276374692,0.44834783121888117,0.8442964171259725,0.4022559056387401,0.34331486477537715,0.18313167683835088,0.18296490201610824,0.5044379974184278,0.639514904006741,0.44665497794318204,0.36247968243957884,0.6798275702822252,0.48272359825400185,0.7067807740405095,0.6904959896197507,0.1590342739853797,0.09009985790171143,0.3224361257812406,0.6565572106033717,0.19636833815933283,0.4565778702253744,0.25514974075936875,0.5229226120924618,0.4161766183335869,0.2985264792292284,0.4445998571181644,0.6490090754241612,0.2844832750210412,0.686110079642346,0.5841992155258976,0.21297261287688526,0.18809433354539676,0.5905190007741583,0.18295771811340295,0.616308836346382,0.2885504290456196,0.5620567507063144,0.46831236652392016,0.6529957279187988,0.5702337110606565,0.503863873963788,0.6276204114251086,0.5419481152803977,0.6356738293781564,0.15044275192586765,0.5303567624621781,0.29839529467789777,0.32264065591864766,0.7268212234163661,0.6931033206992038,0.5838476334415934,0.2053206627377105,0.5747325586701012,0.4196949618033063,0.5166332655717079,0.47272978036240837,0.5351258543746534,0.685595703666655,0.6837091409048999,0.3631021262584445,0.529441473262026,0.48880094292134746,0.4263996626957059,0.2258140664513717,0.5707897397619868,0.3009714244957125,0.5131684810910717,0.6238198330607109,0.40973503973391096,0.663737184970153,0.611009231017106,0.2853924688717892,0.5103920946114292,0.713271588527566,0.6620202972300255,0.5419406695477337,0.690430220055903,0.6464587596485792,0.2425268305305829,0.445847739176215,0.13240222568384183
U306,0.3826134191597506,0.4123900349150855,0.3649496639489663,0.5280589188596524,0.24895512660225166,0.49313585795488724,0.4922070276809206,1.0,0.5758952708764663,0.19547020636023507,0.32455623950309226,0.4351376794898669,0.5177815876639108,0.26970133670771945,0.3259041875427988,0.2808216048831921,0.3433590408242519,0.3770433911062188,0.23740684667782172,0.08137321875133707,0.13761827431773047,0.30589687630741347,0.513312983508771,0.28413789646090526,0.26638240283213444,0.3756841492813024,0.25190563063945426,0.6821776630687179,0.48786746390556,0.11195009472629883,0.15234629854669154,0.2121117325980064,0.3648558028135459,0.23125798126890207,0.3295216272069519,0.2370243361497673,0.19988101731008387,0.2783626815326408,0.2152611914817944,0.28790662398319733,0.46278319580874056,0.16040621609650954,0.2475523508326465,0.3717165111325304,0.11968445234255015,0.09942788076217457,0.3001696613035473,0.1468656487123306,0.4194961809408053,0.18807425087305366,0.40628954213641355,0.32569237967087483,0.396139193239985,0.3604964587467228,0.3187318583197729,0.36819379690879955,0.3660256116654048,0.4439262620553909,0.11702043730285565,0.36023796576688305,0.17791083467457014,0.18795012592949767,0.3753260764358313,0.42389876078320327,0.3297591253496055,0.10798786536579984,0.3145675209882004,0.24203003853493507,0.34785119216664484,0.28750331866556267,0.2004752626315876,0.30508393185753596,0.4330304017578296,0.22317371192533372,0.2246613734857144,0.2672490677927517,0.31271726424342305,0.12176486604302392,0.29545384197118985,0.17311723979205282,0.4105578789826331,0.3071090388789023,0.2996092981036511,0.39433789518130974,0.369490541271928,0.23421497322601523,0.30778624495762474,0.48804836699349513,0.4038207624284951,0.4483942750700755,0.32831238113034233,0.413009488436399,0.13831085329871762,0.3126471173569028,0.04646701566793677
U307,0.4656316596618276,0.4752327662081739,0.49314587461505577,0.6231394480304473,0.2808024936361593,0.6945246473953416,0.6805101625332403,0.5758952708764663,1.0,0.20200755611933768,0.44663485199451897,0.5923853115027372,0.6706346139598456,0.23208035047108788,0.3813493255051452,0.3789266083257661,0.429365570608207,0.3629999688751102,0.41077780732454566,0.13752053384590346,0.11306368424475535,0.43296389667147783,0.6727572902125181,0.35333710419251774,0.4037004819727052,0.504264587672491,0.34379404192066865,0.7231851675935228,0.818184885303831,0.1460446467007438,0.07065605447279445,0.2804757291835308,0.3836519702633399,0.15160061316252382,0.42681364865860266,0.17504862072820274,0.20610054714119197,0.35771030906557916,0.3105464436131553,0.4055725034391234,0.6384841701666042,0.253083233955301,0.3226348469776747,0.49975703912690733,0.2935666014589139,0.15884996469052298,0.4343221576310365,0.16192042028509682,0.6292270192500512,0.2769920946961439,0.5669760833383024,0.44666099958212085,0.5567948143755319,0.3856984465900817,0.501042349630812,0.44681043259323994,0.45035216871830963,0.6070497911719336,0.14025776725417385,0.590323672062793,0.2961954603945327,0.37769214881952795,0.48105022642738365,0.6162964162980471,0.39772284356756255,0.2763498126962974,0.4602647540809981,0.3083192519317843,0.4953761612389655,0.30485780673220264,0.20701104875522922,0.3496051708469943,0.5864844144934013,0.23756866800245538,0.3441915700359995,0.3532806336729161,0.36221686438800216,0.15322155675664798,0.4179105223683523,0.17261622367837787,0.2586398758549382,0.3942383287300093,0.29124197736263224,0.4787578066597543,0.5642226569287146,0.29737503543987615,0.5005044000486326,0.6801180967463748,0.5638519153666329,0.5851946485516979,0.5476470159950141,0.6121229483786597,0.23868325622457642,0.48247818783462704,0.19408096539521005
U308,0.6023037008399171,0.5796748291351459,0.536163805111961,0.32161786146077886,0.48004038271871113,0.41004289229513335,0.4825576276404089,0.19547020636023507,0.20200755611933768,1.0,0.5974850837973946,0.46677596905046,0.32867680566475294,0.4724002008595952,0.2464704560690216,0.28291583389852515,0.5968988084664344,0.35445951483327576,0.21904895507647945,0.23893453753215232,0.6144760663935589,0.3002909293186349,0.30933024796548886,0.3209550155590637,0.1825053301026159,0.6281773471320016,0.5192521797400261,0.39260089765928735,0.37085023732989586,0.166631473997722,0.2240074943815771,0.21241336293333324,0.6347849200344554,0.2658687860692744,0.2616863226511859,0.28696050138566087,0.8777485541171338,0.3059827155314706,0.12476004414204593,0.5029040357458306,0.24647488076348736,0.15488834529534784,0.6300513442394162,0.39786226928806184,0.10931945232071266,0.14402870632501003,0.531703089246072,0.5221892593949943,0.1859261813156177,0.2721439673491059,0.24638345768518038,0.25550951581353515,0.5300850305243703,0.47438638269238276,0.2755678737944888,0.5819485987694706,0.5768356619495553,0.33912956342843864,0.07999255487753189,0.2544591660335318,0.14259189585054552,0.22731247585730643,0.6828043588010336,0.40078974314438565,0.6805327293816739,0.1675047376007151,0.8128633781129742,0.48670996234591307,0.365327750860442,0.5584692479708598,0.8424209839760085,0.7021332526340204,0.5206486534672384,0.5106231881535068,0.5358385164414305,0.3640428512369734,0.23582224341806654,0.5617823574590596,0.5996968976622262,0.3284562234403387,0.6179501333980754,0.6867708627111964,0.1794251492675662,0.4282346950226872,0.5703088754671681,0.5297279654567113,0.48485365654160717,0.4294041084488317,0.5510252384125853,0.5177639269806831,0.6125394790259466,0.5282378722266243,0.17725299196080663,0.3632488297014028,0.14324182334702903
