ASV,MannWU_stat,p_value,Local_left_colon_pos_mean,Local_left_colon_neg_mean,Local_left_colon_pooled_stdev,Local_left_colon_cohens_d,Local_left_colon_cliffs_delta
Bacteria_Firmicutes_Clostridia_Monoglobales_Monoglobaceae_Monoglobus_NA.5,7292.0,0.003827028472357827,0.0030815748279944227,0.0023168858755563265,0.0019399047021936035,0.39418892668975025,-0.2576750603656433
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_intestinalis.1,7015.0,0.005034929273754598,0.0008411607118996459,0.0003201501847473086,0.001741962138515468,0.2990940592981843,-0.20989996550534668
Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_Christensenellaceae-R-7-group_NA.76,5010.0,0.006896039841192479,0.000141414876786708,0.00023276786693262138,0.0006141064983225717,-0.14875756956723885,0.13590893411521215
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Rikenellaceae_Alistipes_shahii.2,4458.0,0.006938889989925982,0.0012200634672976704,0.0025061329885901875,0.0035422195051470844,-0.3630688384567278,0.2311141773025181
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Porphyromonadaceae_Porphyromonas_NA.22,6761.0,0.007203426961290006,0.003820790417314649,0.0010384550646741618,0.020958761400284402,0.13275285211285112,-0.16609175577785443
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Anaerostipes_hadrus.1,7169.5,0.007936567076202983,0.0026838969178232617,0.001967821177206055,0.0015972628093335,0.44831428894034536,-0.2365470852017937
Bacteria_Firmicutes_Clostridia_Oscillospirales_Butyricicoccaceae_Butyricicoccus_NA.25,7140.0,0.008297334409499974,0.0009033654494637206,0.0006550680744634667,0.0008127226118348689,0.3055130636019558,-0.23145912383580544
Bacteria_Firmicutes_Clostridia_Clostridia-vadinBB60-group_NA_NA_NA.82,4986.5,0.00963167435282582,0.0007436231115650549,0.0011983390326793049,0.004739573248307705,-0.09594026662139027,0.1399620558813384
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_Intestinimonas_NA.7,6853.5,0.013962000144398592,0.00057781264403874,0.00027597037588589137,0.0009009805485005912,0.3350152993371206,-0.18204553294239392
Bacteria_Actinobacteriota_Actinobacteria_Bifidobacteriales_Bifidobacteriaceae_Bifidobacterium_bifidum.1,6723.5,0.014964764291175296,0.000800551425314228,0.0003154628039686352,0.001922311527651958,0.25234651843247957,-0.1596240082787168
Bacteria_Cyanobacteria_Vampirivibrionia_Gastranaerophilales_NA_NA_NA.2,6733.0,0.016285460217161922,0.0008695362202747913,0.0002588267021457019,0.0017188928573936238,0.355292370610647,-0.16126250431183167
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Roseburia_NA.4,4652.0,0.025913791409569346,0.0031840420720938177,0.00660812075643248,0.008651025678788565,-0.3958003144915123,0.19765436357364607
Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_NA_NA.2,6476.0,0.026974281877309107,0.00028023008107378513,0.00024249907296258023,0.001349667326935346,0.027955783887041043,-0.11693687478440842
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_9_NA.54,5317.0,0.029987369174727233,0.00030000543442541735,0.0002336107017246006,0.002101266098106724,0.031597489133165714,0.08295964125560538
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Barnesiellaceae_Barnesiella_NA.11,6622.0,0.03029339279092053,0.001036104352859736,0.0001775400519215768,0.0026222238535697703,0.3274183856459664,-0.14211797171438428
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Eubacterium-hallii-group_NA.9,6912.0,0.031073218653449888,0.0030812076220043012,0.0025148069554490607,0.0016652262144529254,0.34013436831543004,-0.19213521904104863
Bacteria_Firmicutes_Clostridia_Oscillospirales_Eubacterium-coprostanoligenes-group_NA_NA.49,6451.0,0.03111809199236122,0.00033604514674837483,7.507062418003746e-05,0.0009280315394078917,0.2812129884452482,-0.11262504311831666
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_vulgatus.4,6841.5,0.03318498803967253,0.002181354582756118,0.0008010572666655411,0.005157545741697095,0.2676267715730212,-0.1799758537426699
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Faecalibacterium_NA.8,4713.5,0.03557369285365343,0.0025746113500760117,0.0034455390223264598,0.003078976021848072,-0.28286276543579486,0.18704725767506036
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Tannerellaceae_Parabacteroides_distasonis.1,6695.5,0.04060369348443589,0.0011094339828758499,0.0011508436615973298,0.003877128473274575,-0.01068050207954698,-0.15479475681269403
Bacteria_Fusobacteriota_Fusobacteriia_Fusobacteriales_Fusobacteriaceae_Fusobacterium_necrophorum.1,6447.5,0.04253807417698783,0.0006740882851426681,0.0024995833028233294,0.012939562161943361,-0.14107857706728577,-0.11202138668506381
Bacteria_Firmicutes_Clostridia_Clostridia-UCG-014_NA_NA_NA.9,6654.0,0.048557053790349615,0.0004863297344919579,0.0002383704515425676,0.0006829594048298546,0.36306591752867706,-0.14763711624698173
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Eisenbergiella_tayi.1,6460.0,0.04878603717866656,0.00037926574636743335,0.00011683479056746928,0.0012403414970955078,0.21157959837229934,-0.11417730251810969
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnoclostridium_NA.100,6358.0,0.05169509410298069,0.0003859791463113147,6.543042392632882e-05,0.0014880547422386075,0.21541460356677275,-0.09658502932045533
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.372,6783.0,0.05643080818805693,0.008596293024641464,0.008986227783734103,0.02525021888497777,-0.015442826886725521,-0.16988616764401518
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnoclostridium_NA.98,6473.5,0.05761531892662648,0.0003645393626484057,0.00018298361240719552,0.0009319182872666364,0.19481938783895145,-0.11650569161779924
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-002_NA.17,6737.0,0.0610321990585328,0.001900541324254065,0.001367887812127584,0.0027151649232873493,0.19617722207517982,-0.16195239737840636
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Eubacterium-siraeum-group_NA.15,6764.0,0.06151744065153309,0.004469512493096339,0.00374176004476383,0.005950269803914536,0.12230578987422362,-0.16660917557778546
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-002_NA.30,6739.5,0.06221243494008168,0.002961005621553846,0.0016277242941212255,0.011389727196515037,0.11705998786701145,-0.16238358054501553
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Paraprevotella_NA.9,6705.0,0.06450233775910146,0.0014584566873592454,0.0009861840577301403,0.0028903949627252204,0.163393804555977,-0.1564332528458089
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_UBA1819_NA.4,6715.0,0.06781905913417083,0.0012712275344370126,0.0007345087249655861,0.0023268508285853575,0.23066317912512357,-0.1581579855122456
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae-NK4A136-group_NA.20,6504.5,0.07256485142730491,0.0010426282167755598,0.0002804444969190103,0.0034111725416811223,0.22343745751451313,-0.12185236288375302
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_7_NA.11,6560.0,0.07386248434510091,0.004755628866090606,0.00048707203788848615,0.0174012597967462,0.2453015975889448,-0.13142462918247672
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Blautia_NA.6,5184.0,0.08441423855924013,0.0002624926642399329,0.0004922400387405722,0.0009173363260870082,-0.2504505359344595,0.10589858571921353
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae-NK4A136-group_NA.10,5184.0,0.08673352216007159,0.00033262460925207203,0.0005197305015300974,0.0011668990808211173,-0.16034453651841404,0.10589858571921353
Bacteria_Firmicutes_Clostridia_Oscillospirales_UCG-010_NA_NA.81,6317.0,0.08673368581061398,0.0001551771793667342,6.358007545072012e-05,0.00037553622705173016,0.24391016716317107,-0.08951362538806484
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_NA_NA_NA.4,6294.5,0.0971861696286026,0.0002625659387829046,0.00021913179791178755,0.0011303217588412022,0.038426351197242636,-0.08563297688858226
Bacteria_Proteobacteria_Alphaproteobacteria_Rhodospirillales_NA_NA_NA.13,6617.0,0.09751163462939073,0.003280426139279313,0.0010368063675216088,0.006520670199914487,0.34407809365778497,-0.1412556053811659
Bacteria_Verrucomicrobiota_Verrucomicrobiae_Verrucomicrobiales_Akkermansiaceae_Akkermansia_NA.4,6396.0,0.0976847955945031,0.002470793004081857,0.0009476176899682721,0.009582545565871651,0.1589530990114351,-0.1031390134529148
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Eubacterium-eligens-group_NA.15,6639.0,0.10362919304982937,0.004257318872127067,0.003359080874715123,0.003227587423520143,0.2783001293369422,-0.14505001724732666
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_eggerthii.2,6594.0,0.10646912813894324,0.0026469000348605994,0.0012398169609822496,0.00464811907329894,0.3027209612510403,-0.1372887202483615
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Roseburia_NA.19,6618.0,0.11077404789903465,0.0015211065151853366,0.0012100667645249359,0.001350400960633495,0.23033140506245417,-0.1414280786478096
Bacteria_Firmicutes_Clostridia_Clostridia-UCG-014_NA_NA_NA.15,5066.5,0.11252742533647725,0.001226501064498916,0.0014445951686322261,0.003604468748753128,-0.06050658760982574,0.12616419454984476
Bacteria_Firmicutes_Clostridia_Peptostreptococcales-Tissierellales_Anaerovoracaceae_Family-XIII-AD3011-group_NA.12,5214.0,0.11315080894650134,0.00022089771586844014,0.00035742251216680396,0.000605151675041818,-0.22560426076475704,0.10072438771990341
Bacteria_Firmicutes_Clostridia_Clostridia-vadinBB60-group_NA_NA_NA.61,6380.0,0.11439142918752535,0.0005215070050476702,0.0002621196156608264,0.001367586107672202,0.1896680493693759,-0.10037944118661607
