ASV,MannWU_stat,p_value,Local_right_colon_pos_mean,Local_right_colon_neg_mean,Local_right_colon_pooled_stdev,Local_right_colon_cohens_d,Local_right_colon_cliffs_delta
Bacteria_Actinobacteriota_Actinobacteria_Bifidobacteriales_Bifidobacteriaceae_Bifidobacterium_NA.12,8580.0,9.249112317752678e-05,0.0216289968263976,0.01747616744358075,0.04125280829778003,0.10066779824636402,-0.3302325581395349
Bacteria_Firmicutes_Clostridia_Clostridia-vadinBB60-group_NA_NA_NA.16,8576.0,9.317551674252267e-05,0.004051636629055519,0.0019130587655162023,0.00358127554410654,0.5971553535048786,-0.3296124031007752
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnoclostridium_NA.98,5226.0,0.0011030111939539082,0.00021554993037005088,0.0007410698447701282,0.0013156766015656196,-0.3994293991203635,0.18976744186046512
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Paraprevotella_NA.11,5264.0,0.0015695724819982015,0.001116410492198005,0.0009007634416725272,0.007350716231233041,0.02933687599164799,0.18387596899224806
Bacteria_Firmicutes_Clostridia_Peptostreptococcales-Tissierellales_Peptostreptococcaceae_Intestinibacter_bartlettii.1,4733.0,0.0015923546014528715,0.001743218836688184,0.0027349786843512297,0.002481009087832225,-0.39974051386066994,0.2662015503875969
Bacteria_Firmicutes_Clostridia_Clostridia-UCG-014_NA_NA_NA.53,7980.0,0.001685468704777941,0.0007549048274322614,0.0004028865358663473,0.0013446372184022653,0.26179424959260894,-0.2372093023255814
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_coprocola.4,7875.0,0.0025472195738937024,0.002571852995898762,0.00027590774440096176,0.00725606159023088,0.3164175528207921,-0.22093023255813954
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Eubacterium-hallii-group_NA.9,8081.0,0.0027588301712497144,0.0031358544852840824,0.002394509117570544,0.0016876747613820899,0.4392702816189699,-0.25286821705426354
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_intermedia.3,5499.5,0.003275694978305967,0.001296346691408085,0.002818950796926916,0.015125391596688029,-0.10066543373675245,0.14736434108527133
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Blautia_NA.26,5508.0,0.003962085477011407,0.0011099489153269775,0.0008448156265916654,0.00882315599982134,0.030049711094384004,0.14604651162790697
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.366,8016.5,0.003999569998883515,0.005505769616902489,0.0034695789432290115,0.006350625209773222,0.32062838010656103,-0.24286821705426356
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Roseburia_NA.19,8001.0,0.004227491792776601,0.0015777043004751134,0.001048730000657956,0.0013479624367773565,0.39242510427946614,-0.24046511627906977
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-002_NA.17,4960.0,0.004820377137499823,0.0016367829175003381,0.0023840425712786367,0.0027814552894219083,-0.26865779817500046,0.2310077519379845
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_UBA1819_NA.4,4968.0,0.005128612360106492,0.0008856989624581738,0.0021875486158192824,0.00396218577905873,-0.3285685543171023,0.2297674418604651
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae-NK4A136-group_NA.10,5418.0,0.006323811410563225,0.00028289819019663596,0.0006729693841750067,0.0011635016918480252,-0.33525623272520455,0.16
Bacteria_Firmicutes_Clostridia_Clostridia-UCG-014_NA_NA_NA.28,7857.0,0.007194452720199781,0.0025359093732263325,0.001183533791726724,0.003695226353906655,0.36597909085321784,-0.21813953488372093
Bacteria_Firmicutes_Clostridia_Peptostreptococcales-Tissierellales_Peptostreptococcaceae_Romboutsia_sedimentorum.1,5536.0,0.00797553771812083,0.00033503499763750554,0.0012343573959431857,0.004279163325795284,-0.2101631393418574,0.14170542635658914
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_NA_NA.68,5763.0,0.0086638690562507,4.9292571776677656e-05,0.0001502113400054951,0.0003033618246800778,-0.33266798924105007,0.10651162790697674
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Ruminococcus-torques-group_NA.27,5028.0,0.009062522792081074,0.006788437358996516,0.012568804999919083,0.01761277838028407,-0.3281916978750593,0.22046511627906976
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_NA_NA.16,5064.0,0.009900260666780354,0.0011870322152848808,0.0015939736795850497,0.001406110966638748,-0.2894092101940903,0.21488372093023256
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Tannerellaceae_Parabacteroides_distasonis.7,7509.0,0.01028703613163671,0.0005743722100085228,0.0002881631694682535,0.0012105924319355272,0.23642064248053388,-0.1641860465116279
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-005_NA.22,7838.0,0.010854563450479025,0.004495189419541705,0.003354612753442711,0.0033017934793975524,0.34544155266401,-0.2151937984496124
