clin_var,community,real,prob,fisher_p
Age_4grp,0,"[52, 47, 18, 14]","[49.06545454545455, 44.301818181818184, 21.436363636363637, 16.196363636363635]",0.9135857298348944
Age_4grp,1,"[2, 1, 0, 0]","[1.1236363636363638, 1.0145454545454546, 0.4909090909090909, 0.3709090909090909]",1.0
Age_4grp,2,"[11, 9, 6, 4]","[11.236363636363636, 10.145454545454546, 4.909090909090909, 3.7090909090909094]",0.9999999999999418
Age_4grp,3,"[4, 4, 4, 3]","[5.618181818181818, 5.072727272727273, 2.4545454545454546, 1.8545454545454547]",0.7884803728166867
Age_4grp,5,"[1, 1, 0, 0]","[0.7490909090909091, 0.6763636363636364, 0.32727272727272727, 0.24727272727272728]",1.0
Age_4grp,8,"[7, 4, 2, 1]","[5.243636363636364, 4.734545454545454, 2.290909090909091, 1.730909090909091]",0.8955229505990054
Age_4grp,10,"[1, 1, 0, 0]","[0.7490909090909091, 0.6763636363636364, 0.32727272727272727, 0.24727272727272728]",1.0
Age_4grp,11,"[1, 1, 1, 0]","[1.1236363636363638, 1.0145454545454546, 0.4909090909090909, 0.3709090909090909]",1.0
Age_4grp,12,"[1, 1, 1, 1]","[1.4981818181818183, 1.3527272727272728, 0.6545454545454545, 0.49454545454545457]",0.9999999999999997
Age_4grp,13,"[1, 1, 0, 0]","[0.7490909090909091, 0.6763636363636364, 0.32727272727272727, 0.24727272727272728]",1.0
Age_4grp,18,"[2, 0, 0, 0]","[0.7490909090909091, 0.6763636363636364, 0.32727272727272727, 0.24727272727272728]",1.0
Age_4grp,21,"[3, 1, 0, 0]","[1.4981818181818183, 1.3527272727272728, 0.6545454545454545, 0.49454545454545457]",0.6571428571428567
Age_4grp,22,"[2, 0, 0, 0]","[0.7490909090909091, 0.6763636363636364, 0.32727272727272727, 0.24727272727272728]",1.0
Age_4grp,23,"[3, 3, 3, 1]","[3.7454545454545456, 3.381818181818182, 1.6363636363636362, 1.2363636363636363]",0.9999999999999947
Age_4grp,27,"[1, 1, 1, 0]","[1.1236363636363638, 1.0145454545454546, 0.4909090909090909, 0.3709090909090909]",1.0
Age_4grp,32,"[1, 1, 0, 0]","[0.7490909090909091, 0.6763636363636364, 0.32727272727272727, 0.24727272727272728]",1.0
Age_4grp,33,"[1, 1, 0, 0]","[0.7490909090909091, 0.6763636363636364, 0.32727272727272727, 0.24727272727272728]",1.0
Age_4grp,50,"[1, 1, 0, 0]","[0.7490909090909091, 0.6763636363636364, 0.32727272727272727, 0.24727272727272728]",1.0
Stage,0,"[39, 38, 29, 19, 6]","[45.25454545454546, 36.68000000000001, 23.81818181818182, 20.483636363636364, 4.763636363636364]",0.9061494329845723
Stage,1,"[1, 1, 1, 0, 0]","[1.0363636363636364, 0.8400000000000001, 0.5454545454545454, 0.4690909090909091, 0.10909090909090909]",1.0
Stage,2,"[12, 8, 5, 4, 1]","[10.363636363636363, 8.4, 5.454545454545455, 4.690909090909091, 1.0909090909090908]",0.9902498773030046
Stage,3,"[7, 5, 2, 1, 0]","[5.181818181818182, 4.2, 2.7272727272727275, 2.3454545454545457, 0.5454545454545454]",0.8649003671538834
Stage,5,"[2, 0, 0, 0, 0]","[0.6909090909090909, 0.56, 0.36363636363636365, 0.31272727272727274, 0.07272727272727272]",1.0
Stage,8,"[8, 3, 3, 0, 0]","[4.836363636363636, 3.9200000000000004, 2.5454545454545454, 2.1890909090909094, 0.509090909090909]",0.5884167049602141
Stage,10,"[1, 1, 0, 0, 0]","[0.6909090909090909, 0.56, 0.36363636363636365, 0.31272727272727274, 0.07272727272727272]",1.0
Stage,11,"[2, 1, 0, 0, 0]","[1.0363636363636364, 0.8400000000000001, 0.5454545454545454, 0.4690909090909091, 0.10909090909090909]",1.0
