clin_var,community,real,prob,fisher_p
Age_4grp,0,"[10, 9, 1, 1]","[8.4, 6.872727272727273, 3.245454545454545, 2.481818181818182]",0.6408115163291439
Age_4grp,1,"[2, 2, 0, 0]","[1.6, 1.309090909090909, 0.6181818181818182, 0.4727272727272727]",1.0
Age_4grp,2,"[3, 1, 1, 0]","[2.0, 1.6363636363636362, 0.7727272727272727, 0.5909090909090909]",1.0
Age_4grp,3,"[1, 1, 1, 0]","[1.2000000000000002, 0.9818181818181818, 0.4636363636363636, 0.35454545454545455]",1.0
Age_4grp,4,"[2, 0, 0, 0]","[0.8, 0.6545454545454545, 0.3090909090909091, 0.23636363636363636]",1.0
Age_4grp,5,"[1, 1, 0, 0]","[0.8, 0.6545454545454545, 0.3090909090909091, 0.23636363636363636]",1.0
Age_4grp,6,"[2, 1, 0, 0]","[1.2000000000000002, 0.9818181818181818, 0.4636363636363636, 0.35454545454545455]",1.0
Age_4grp,7,"[1, 1, 0, 0]","[0.8, 0.6545454545454545, 0.3090909090909091, 0.23636363636363636]",1.0
Age_4grp,8,"[2, 1, 1, 0]","[1.6, 1.309090909090909, 0.6181818181818182, 0.4727272727272727]",1.0
Age_4grp,9,"[1, 1, 0, 0]","[0.8, 0.6545454545454545, 0.3090909090909091, 0.23636363636363636]",1.0
Age_4grp,10,"[3, 2, 2, 1]","[3.2, 2.618181818181818, 1.2363636363636363, 0.9454545454545454]",0.9999999999999988
Age_4grp,11,"[1, 1, 0, 0]","[0.8, 0.6545454545454545, 0.3090909090909091, 0.23636363636363636]",1.0
Age_4grp,12,"[1, 1, 0, 0]","[0.8, 0.6545454545454545, 0.3090909090909091, 0.23636363636363636]",1.0
Age_4grp,13,"[8, 7, 5, 2]","[8.8, 7.2, 3.4, 2.6]",0.8959132655943363
Age_4grp,14,"[3, 0, 0, 0]","[1.2000000000000002, 0.9818181818181818, 0.4636363636363636, 0.35454545454545455]",0.4000000000000002
Age_4grp,15,"[2, 1, 0, 0]","[1.2000000000000002, 0.9818181818181818, 0.4636363636363636, 0.35454545454545455]",1.0
Age_4grp,16,"[3, 2, 1, 0]","[2.4000000000000004, 1.9636363636363636, 0.9272727272727272, 0.7090909090909091]",0.9999999999999999
Age_4grp,17,"[3, 2, 0, 0]","[2.0, 1.6363636363636362, 0.7727272727272727, 0.5909090909090909]",1.0
Age_4grp,18,"[1, 1, 1, 0]","[1.2000000000000002, 0.9818181818181818, 0.4636363636363636, 0.35454545454545455]",1.0
Age_4grp,19,"[2, 1, 0, 0]","[1.2000000000000002, 0.9818181818181818, 0.4636363636363636, 0.35454545454545455]",1.0
