clin_var,community,real,prob,fisher_p
Age_4grp,0,"[15, 15, 4, 2]","[14.017699115044248, 11.628318584070797, 5.893805309734513, 4.460176991150442]",0.7201811293320747
Age_4grp,1,"[25, 24, 12, 6]","[26.088495575221238, 21.641592920353983, 10.969026548672566, 8.300884955752212]",0.9529493566014244
Age_4grp,2,"[4, 2, 1, 0]","[2.725663716814159, 2.2610619469026547, 1.1460176991150444, 0.8672566371681416]",1.0
Age_4grp,3,"[7, 4, 2, 2]","[5.84070796460177, 4.845132743362832, 2.4557522123893807, 1.8584070796460177]",1.0
Age_4grp,4,"[2, 1, 1, 0]","[1.5575221238938053, 1.2920353982300885, 0.6548672566371682, 0.49557522123893805]",1.0
Age_4grp,6,"[2, 2, 1, 0]","[1.9469026548672566, 1.6150442477876106, 0.8185840707964602, 0.6194690265486725]",1.0
Age_4grp,7,"[4, 2, 1, 0]","[2.725663716814159, 2.2610619469026547, 1.1460176991150444, 0.8672566371681416]",1.0
Age_4grp,11,"[2, 1, 0, 0]","[1.168141592920354, 0.9690265486725664, 0.4911504424778761, 0.37168141592920356]",1.0
Age_4grp,12,"[6, 3, 3, 3]","[5.84070796460177, 4.845132743362832, 2.4557522123893807, 1.8584070796460177]",0.8451238776896367
Age_4grp,15,"[2, 1, 1, 0]","[1.5575221238938053, 1.2920353982300885, 0.6548672566371682, 0.49557522123893805]",1.0
Age_4grp,17,"[1, 1, 1, 0]","[1.168141592920354, 0.9690265486725664, 0.4911504424778761, 0.37168141592920356]",1.0
Age_4grp,18,"[1, 1, 0, 0]","[0.7787610619469026, 0.6460176991150443, 0.3274336283185841, 0.24778761061946902]",1.0
Age_4grp,20,"[1, 1, 1, 0]","[1.168141592920354, 0.9690265486725664, 0.4911504424778761, 0.37168141592920356]",1.0
Age_4grp,21,"[3, 1, 0, 0]","[1.5575221238938053, 1.2920353982300885, 0.6548672566371682, 0.49557522123893805]",1.0
Age_4grp,23,"[4, 1, 0, 0]","[1.9469026548672566, 1.6150442477876106, 0.8185840707964602, 0.6194690265486725]",0.6103896103896096
Age_4grp,27,"[1, 1, 1, 0]","[1.168141592920354, 0.9690265486725664, 0.4911504424778761, 0.37168141592920356]",1.0
Age_4grp,28,"[1, 1, 1, 0]","[1.168141592920354, 0.9690265486725664, 0.4911504424778761, 0.37168141592920356]",1.0
Age_4grp,29,"[2, 0, 0, 0]","[0.7787610619469026, 0.6460176991150443, 0.3274336283185841, 0.24778761061946902]",1.0
Age_4grp,30,"[2, 2, 0, 0]","[1.5575221238938053, 1.2920353982300885, 0.6548672566371682, 0.49557522123893805]",1.0
Age_4grp,31,"[1, 1, 0, 0]","[0.7787610619469026, 0.6460176991150443, 0.3274336283185841, 0.24778761061946902]",1.0
Age_4grp,33,"[1, 1, 0, 0]","[0.7787610619469026, 0.6460176991150443, 0.3274336283185841, 0.24778761061946902]",1.0
Stage,0,"[10, 9, 8, 7, 2]","[12.743362831858407, 9.716814159292035, 6.690265486725664, 5.893805309734513, 0.9557522123893805]",0.9526073849968724
Stage,1,"[21, 18, 16, 10, 2]","[23.716814159292035, 18.084070796460175, 12.45132743362832, 10.969026548672566, 1.7787610619469025]",0.947246955982902
Stage,2,"[3, 2, 2, 0, 0]","[2.47787610619469, 1.889380530973451, 1.3008849557522124, 1.1460176991150444, 0.18584070796460178]",1.0
Stage,3,"[7, 5, 2, 1, 0]","[5.3097345132743365, 4.048672566371681, 2.7876106194690267, 2.4557522123893807, 0.39823008849557523]",0.8649003671538852
Stage,4,"[3, 1, 0, 0, 0]","[1.415929203539823, 1.079646017699115, 0.7433628318584071, 0.6548672566371682, 0.10619469026548672]",0.6571428571428564
Stage,6,"[2, 1, 1, 1, 0]","[1.7699115044247788, 1.3495575221238938, 0.929203539823009, 0.8185840707964602, 0.1327433628318584]",1.0
Stage,7,"[3, 2, 1, 1, 0]","[2.47787610619469, 1.889380530973451, 1.3008849557522124, 1.1460176991150444, 0.18584070796460178]",1.0
Stage,11,"[2, 1, 0, 0, 0]","[1.0619469026548671, 0.8097345132743362, 0.5575221238938053, 0.4911504424778761, 0.07964601769911504]",1.0
Stage,12,"[8, 4, 2, 1, 0]","[5.3097345132743365, 4.048672566371681, 2.7876106194690267, 2.4557522123893807, 0.39823008849557523]",0.7119304125027272
Stage,15,"[2, 2, 0, 0, 0]","[1.415929203539823, 1.079646017699115, 0.7433628318584071, 0.6548672566371682, 0.10619469026548672]",1.0
Stage,17,"[1, 1, 1, 0, 0]","[1.0619469026548671, 0.8097345132743362, 0.5575221238938053, 0.4911504424778761, 0.07964601769911504]",1.0
Stage,18,"[1, 1, 0, 0, 0]","[0.7079646017699115, 0.5398230088495575, 0.37168141592920356, 0.3274336283185841, 0.05309734513274336]",1.0
Stage,20,"[1, 1, 1, 0, 0]","[1.0619469026548671, 0.8097345132743362, 0.5575221238938053, 0.4911504424778761, 0.07964601769911504]",1.0
Stage,21,"[2, 2, 0, 0, 0]","[1.415929203539823, 1.079646017699115, 0.7433628318584071, 0.6548672566371682, 0.10619469026548672]",1.0
Stage,23,"[3, 1, 1, 0, 0]","[1.7699115044247788, 1.3495575221238938, 0.929203539823009, 0.8185840707964602, 0.1327433628318584]",1.0
Stage,27,"[2, 1, 0, 0, 0]","[1.0619469026548671, 0.8097345132743362, 0.5575221238938053, 0.4911504424778761, 0.07964601769911504]",1.0
Stage,28,"[1, 1, 1, 0, 0]","[1.0619469026548671, 0.8097345132743362, 0.5575221238938053, 0.4911504424778761, 0.07964601769911504]",1.0
Stage,29,"[1, 1, 0, 0, 0]","[0.7079646017699115, 0.5398230088495575, 0.37168141592920356, 0.3274336283185841, 0.05309734513274336]",1.0
Stage,30,"[2, 2, 0, 0, 0]","[1.415929203539823, 1.079646017699115, 0.7433628318584071, 0.6548672566371682, 0.10619469026548672]",1.0
Stage,31,"[1, 1, 0, 0, 0]","[0.7079646017699115, 0.5398230088495575, 0.37168141592920356, 0.3274336283185841, 0.05309734513274336]",1.0
Stage,33,"[2, 0, 0, 0, 0]","[0.7079646017699115, 0.5398230088495575, 0.37168141592920356, 0.3274336283185841, 0.05309734513274336]",1.0
Local_3grp,0,"[29, 6, 1]","[22.30088495575221, 7.486725663716814, 6.212389380530973]",0.10749908900502007
Local_3grp,1,"[37, 16, 14]","[41.50442477876106, 13.93362831858407, 11.561946902654867]",0.7897887830162253
Local_3grp,2,"[5, 1, 1]","[4.336283185840708, 1.4557522123893805, 1.2079646017699115]",1.0
Local_3grp,3,"[7, 5, 3]","[9.292035398230087, 3.119469026548672, 2.5884955752212386]",0.8838429082672263
