Community 0,Community 1,Community 2,Community 3,Community 4,Community 5,Community 6,Community 7,Community 8,Community 9,Community 10,Community 11,Community 12,Community 13,Community 14,Community 15,Community 16,Community 17,Community 18,Community 19,Community 20,Community 21,Community 22,Community 23,Community 24,Community 25,Community 26,Community 27,Community 28,Community 29,Community 30,Community 31,Community 32,Community 33,Community 34,Community 35,Community 36,Community 37,Community 38,Community 39,Community 40,Community 41,Community 42,Community 43,Community 44,Community 45,Community 46,Community 47,Community 48,Community 49,Community 50,Community 51
0 : Bacteria_Actinobacteriota_Actinobacteria_Bifidobacteriales_Bifidobacteriaceae_Bifidobacterium_NA.21,1 : Bacteria_Actinobacteriota_Coriobacteriia_Coriobacteriales_Eggerthellaceae_Adlercreutzia_equolifaciens.3,2 : Bacteria_Actinobacteriota_Coriobacteriia_Coriobacteriales_Eggerthellaceae_NA_NA.2,3 : Bacteria_Actinobacteriota_Coriobacteriia_Coriobacteriales_Eggerthellaceae_Senegalimassilia_NA.7,4 : Bacteria_Actinobacteriota_Coriobacteriia_Coriobacteriales_Eggerthellaceae_Slackia_isoflavoniconvertens.1,5 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_caccae.3,6 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_coprocola.2,7 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_coprocola.3,8 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_coprocola.4,9 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_eggerthii.1,10 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_eggerthii.2,11 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_fragilis.4,12 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_intestinalis.1,13 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_intestinalis.3,14 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_massiliensis.1,16 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.277,18 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.304,19 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.305,21 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.320,22 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.330,23 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.331,24 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.342,25 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.343,27 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.359,28 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.37,30 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.396,33 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_plebeius.2,34 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_salyersiae.1,35 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_stercoris.1,37 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_uniformis.2,39 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_vulgatus.1,40 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_vulgatus.2,43 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Barnesiellaceae_Barnesiella_NA.11,45 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Barnesiellaceae_Barnesiella_NA.23,49 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Barnesiellaceae_Barnesiella_NA.57,55 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Muribaculaceae_NA_NA.137,56 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Muribaculaceae_NA_NA.15,57 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Muribaculaceae_NA_NA.3,59 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Porphyromonadaceae_Porphyromonas_NA.1,64 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_9_copri.2,66 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_9_NA.108,72 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_9_NA.69,78 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Rikenellaceae_Alistipes_NA.28,92 : Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_Christensenellaceae_R-7_group_NA.104,100 : Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_Christensenellaceae_R-7_group_NA.63,104 : Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_Christensenellaceae_R-7_group_NA.99,106 : Bacteria_Firmicutes_Clostridia_Clostridia_UCG-014_NA_NA_NA.118,122 : Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Blautia_massiliensis.1,135 : Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnoclostridium_NA.53,139 : Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnoclostridium_NA.83,152 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Eubacterium_coprostanoligenes_group_NA_NA.10,157 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_Colidextribacter_NA.10
54 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Muribaculaceae_CAG-873_NA.3,73 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_9_NA.78,46 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Barnesiellaceae_Barnesiella_NA.31,41 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_vulgatus.4,94 : Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_Christensenellaceae_R-7_group_NA.119,79 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Rikenellaceae_Alistipes_NA.40,32 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_plebeius.1,69 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_9_NA.136,62 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Paraprevotella_NA.9,58 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_NA_NA_NA.4,175 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-002_NA.64,20 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.311,138 : Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnoclostridium_NA.68,81 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Rikenellaceae_Alistipes_obesi.1,15 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_massiliensis.2,26 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.356,123 : Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Blautia_NA.26,142 : Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae_NK4A136_group_bacterium.1,111 : Bacteria_Firmicutes_Clostridia_Clostridia_UCG-014_NA_NA_NA.46,89 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Tannerellaceae_Parabacteroides_distasonis.6,29 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.374,90 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Tannerellaceae_Parabacteroides_distasonis.7,36 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_thetaiotaomicron.1,83 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Rikenellaceae_Rikenellaceae_RC9_gut_group_NA.31,38 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_uniformis.3,53 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Marinifilaceae_Butyricimonas_virosa.2,87 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Tannerellaceae_Parabacteroides_distasonis.1,154 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Eubacterium_coprostanoligenes_group_NA_NA.37,145 : Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae_UCG-010_NA.16,48 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Barnesiellaceae_Barnesiella_NA.44,42 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_vulgatus.5,134 : Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnoclostridium_NA.102,50 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Barnesiellaceae_Barnesiella_NA.6,52 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Marinifilaceae_Butyricimonas_NA.31,70 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_9_NA.54,168 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-002_NA.11,210 : Bacteria_Proteobacteria_Alphaproteobacteria_Rhodospirillales_NA_NA_NA.13,63 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_7_NA.18,60 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Porphyromonadaceae_Porphyromonas_NA.30,65 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_9_copri.3,68 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_9_NA.134,146 : Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_NA_NA.32,120 : Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium_sensu_stricto_1_paraputrificum.1,95 : Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_Christensenellaceae_R-7_group_NA.128,101 : Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_Christensenellaceae_R-7_group_NA.76,144 : Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae_UCG-003_NA.9,183 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_CAG-352_NA.5,124 : Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Blautia_NA.51,137 : Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnoclostridium_NA.66,185 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Eubacterium_siraeum_group_NA.13,164 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_NK4A214_group_NA.25,184 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Eubacterium_siraeum_group_NA.12
84 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Rikenellaceae_Rikenellaceae_RC9_gut_group_NA.44,74 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_9_NA.88,75 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotellaceae_NK3B31_group_NA.14,211 : Bacteria_Proteobacteria_Alphaproteobacteria_Rhodospirillales_NA_NA_NA.2,131 : Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Hungatella_hathewayi.2,108 : Bacteria_Firmicutes_Clostridia_Clostridia_UCG-014_NA_NA_NA.22,212 : Bacteria_Proteobacteria_Alphaproteobacteria_Rhodospirillales_NA_NA_NA.4,71 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_9_NA.66,,170 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-002_NA.30,,31 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_ovatus.2,215 : Bacteria_Verrucomicrobiota_Verrucomicrobiae_Verrucomicrobiales_Akkermansiaceae_Akkermansia_NA.5,82 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Rikenellaceae_Alistipes_putredinis.1,17 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.288,86 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Tannerellaceae_NA_NA.1,127 : Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Eisenbergiella_massiliensis.1,,,91 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Tannerellaceae_Parabacteroides_distasonis.9,61 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Paraprevotella_NA.11,174 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-002_NA.62,44 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Barnesiellaceae_Barnesiella_NA.22,,195 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Ruminococcus_NA.18,93 : Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_Christensenellaceae_R-7_group_NA.113,169 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-002_NA.13,,,,,,51 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Barnesiellaceae_Coprobacter_NA.10,77 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Rikenellaceae_Alistipes_finegoldii.2,,,,121 : Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Agathobacter_NA.91,115 : Bacteria_Firmicutes_Clostridia_Clostridia_vadinBB60_group_NA_NA_NA.20,67 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_9_NA.113,,165 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_NK4A214_group_NA.35,125 : Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Butyrivibrio_crossotus.1,98 : Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_Christensenellaceae_R-7_group_NA.18,114 : Bacteria_Firmicutes_Clostridia_Clostridia_vadinBB60_group_NA_NA_NA.16,,,130 : Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Fusicatenibacter_saccharivorans.1,,,171 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-002_NA.31,188 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Faecalibacterium_prausnitzii.1
,129 : Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Eubacterium_ruminantium_group_NA.2,85 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Rikenellaceae_Rikenellaceae_RC9_gut_group_NA.51,,179 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-005_NA.37,117 : Bacteria_Firmicutes_Clostridia_Clostridia_vadinBB60_group_NA_NA_NA.82,213 : Bacteria_Proteobacteria_Alphaproteobacteria_Rhodospirillales_NA_NA_NA.6,,,,,159 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_Flavonifractor_plautii.2,,96 : Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_Christensenellaceae_R-7_group_NA.154,47 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Barnesiellaceae_Barnesiella_NA.33,181 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-005_NA.41,136 : Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnoclostridium_NA.64,,,133 : Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnoclostridium_NA.100,76 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotellaceae_NK3B31_group_NA.2,180 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-005_NA.40,80 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Rikenellaceae_Alistipes_NA.47,,,97 : Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_Christensenellaceae_R-7_group_NA.165,,,,,,,105 : Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_NA_NA.2,149 : Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Roseburia_inulinivorans.1,,,,,205 : Bacteria_Firmicutes_Clostridia_Peptostreptococcales-Tissierellales_Family_XI_Parvimonas_micra.1,,,187 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Eubacterium_siraeum_group_NA.15,143 : Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae_NK4A136_group_NA.52,102 : Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_Christensenellaceae_R-7_group_NA.96,161 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_NK4A214_group_NA.14,,,132 : Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnoclostridium_edouardi.1,,,172 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-002_NA.38,
,,103 : Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_Christensenellaceae_R-7_group_NA.97,,186 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Eubacterium_siraeum_group_NA.14,,,,,,,,,110 : Bacteria_Firmicutes_Clostridia_Clostridia_UCG-014_NA_NA_NA.30,,190 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Incertae_Sedis_NA.20,140 : Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnoclostridium_NA.92,,,,,,88 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Tannerellaceae_Parabacteroides_distasonis.10,,,99 : Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_Christensenellaceae_R-7_group_NA.2,,,,,,,113 : Bacteria_Firmicutes_Clostridia_Clostridia_UCG-014_NA_NA_NA.9,,,,,,209 : Bacteria_Fusobacteriota_Fusobacteriia_Fusobacteriales_Fusobacteriaceae_Fusobacterium_necrophorum.1,,,,194 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Ruminococcus_bromii.1,107 : Bacteria_Firmicutes_Clostridia_Clostridia_UCG-014_NA_NA_NA.15,178 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-005_NA.33,,,148 : Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Roseburia_intestinalis.1,,,,
,,126 : Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Coprococcus_NA.8,,197 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Subdoligranulum_NA.60,,,,,,,,,119 : Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium_sensu_stricto_1_NA.29,,,141 : Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnoclostridium_NA.98,,,,,,,,,109 : Bacteria_Firmicutes_Clostridia_Clostridia_UCG-014_NA_NA_NA.28,,,,,,,151 : Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Ruminococcus_torques_group_NA.27,,,,,,,,,,,128 : Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Eisenbergiella_tayi.1,182 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-005_NA.62,,,150 : Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Ruminococcus_gauvreauii_group_NA.5,,,,
,,176 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-003_NA.5,,,,,,,,,,,155 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Eubacterium_coprostanoligenes_group_NA_NA.48,,,160 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_Intestinimonas_NA.16,,,,,,,,,112 : Bacteria_Firmicutes_Clostridia_Clostridia_UCG-014_NA_NA_NA.79,,,,,,,153 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Eubacterium_coprostanoligenes_group_NA_NA.15,,,,,,,,,,,147 : Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_NA_NA.44,207 : Bacteria_Firmicutes_Clostridia_Peptostreptococcales-Tissierellales_Peptostreptococcaceae_Peptostreptococcus_stomatis.1,,,,,,,
,,189 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Faecalibacterium_prausnitzii.2,,,,,,,,,,,162 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_NK4A214_group_NA.18,,,192 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_NA_NA.38,,,,,,,,,116 : Bacteria_Firmicutes_Clostridia_Clostridia_vadinBB60_group_NA_NA_NA.61,,,,,,,156 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Eubacterium_coprostanoligenes_group_NA_NA.55,,,,,,,,,,,193 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_NA_NA.68,,,,,,,,
,,,,,,,,,,,,,173 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-002_NA.61,,,214 : Bacteria_Verrucomicrobiota_Verrucomicrobiae_Verrucomicrobiales_Akkermansiaceae_Akkermansia_muciniphila.2,,,,,,,,,118 : Bacteria_Firmicutes_Clostridia_Clostridia_vadinBB60_group_NA_NA_NA.9,,,,,,,158 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_Colidextribacter_NA.14,,,,,,,,,,,198 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_UBA1819_NA.4,,,,,,,,
,,,,,,,,,,,,,200 : Bacteria_Firmicutes_Clostridia_Oscillospirales_UCG-010_NA_NA.51,,,,,,,,,,,,167 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_NK4A214_group_NA.48,,,,,,,163 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_NK4A214_group_NA.21,,,,,,,,,,,,,,,,,,,
