Community 0,Community 1,Community 2,Community 3,Community 4,Community 5,Community 6,Community 7,Community 8,Community 9,Community 10,Community 11,Community 12,Community 13,Community 14,Community 15,Community 16,Community 17,Community 18,Community 19,Community 20,Community 21,Community 22
0 : U1,1 : U100,2 : U102,3 : U103,4 : U105,5 : U113,6 : U117,7 : U121,8 : U13,9 : U130,13 : U136,14 : U139,15 : U14,16 : U146,19 : U150,21 : U154,23 : U158,26 : U162,38 : U18,41 : U186,49 : U209,54 : U217,58 : U222
20 : U153,11 : U133,10 : U132,97 : U53,90 : U36,111 : U99,42 : U190,18 : U149,12 : U134,53 : U216,17 : U147,39 : U180,72 : U255,91 : U41,22 : U156,40 : U182,32 : U171,45 : U2,99 : U58,96 : U50,65 : U243,56 : U220,100 : U63
28 : U165,24 : U16,27 : U163,109 : U97,,,84 : U283,,31 : U169,,,47 : U202,,,25 : U160,61 : U234,94 : U48,55 : U219,102 : U72,104 : U8,107 : U91,60 : U231,
30 : U167,68 : U251,34 : U174,,,,,,105 : U82,,,71 : U254,,,29 : U166,,,75 : U260,103 : U77,,,,
35 : U175,,95 : U49,,,,,,,,,79 : U271,,,33 : U173,,,81 : U273,110 : U98,,,,
46 : U201,,,,,,,,,,,80 : U272,,,36 : U176,,,93 : U47,,,,,
48 : U206,,,,,,,,,,,83 : U276,,,37 : U177,,,,,,,,
51 : U211,,,,,,,,,,,87 : U290,,,43 : U196,,,,,,,,
52 : U213,,,,,,,,,,,,,,44 : U198,,,,,,,,
57 : U221,,,,,,,,,,,,,,50 : U21,,,,,,,,
62 : U235,,,,,,,,,,,,,,59 : U226,,,,,,,,
64 : U241,,,,,,,,,,,,,,63 : U237,,,,,,,,
69 : U252,,,,,,,,,,,,,,66 : U248,,,,,,,,
70 : U253,,,,,,,,,,,,,,67 : U25,,,,,,,,
73 : U257,,,,,,,,,,,,,,74 : U258,,,,,,,,
77 : U262,,,,,,,,,,,,,,76 : U261,,,,,,,,
88 : U294,,,,,,,,,,,,,,78 : U268,,,,,,,,
92 : U44,,,,,,,,,,,,,,82 : U274,,,,,,,,
108 : U95,,,,,,,,,,,,,,85 : U284,,,,,,,,
,,,,,,,,,,,,,,86 : U288,,,,,,,,
,,,,,,,,,,,,,,89 : U3,,,,,,,,
,,,,,,,,,,,,,,98 : U57,,,,,,,,
,,,,,,,,,,,,,,101 : U65,,,,,,,,
,,,,,,,,,,,,,,106 : U9,,,,,,,,
