,ASV
0,U1
1,U10
2,U100
3,U101
4,U102
5,U103
6,U104
7,U105
8,U107
9,U108
10,U112
11,U113
12,U114
13,U115
14,U117
15,U118
16,U119
17,U12
18,U120
19,U121
20,U122
21,U123
22,U124
23,U125
24,U126
25,U127
26,U128
27,U129
28,U13
29,U130
30,U131
31,U132
32,U133
33,U134
34,U135
35,U136
36,U137
37,U138
38,U139
39,U14
40,U140
41,U141
42,U142
43,U143
44,U145
45,U146
46,U147
47,U148
48,U149
49,U15
50,U150
51,U151
52,U152
53,U153
54,U154
55,U156
56,U157
57,U158
58,U159
59,U16
60,U160
61,U161
62,U162
63,U163
64,U164
65,U165
66,U166
67,U167
68,U168
69,U169
70,U17
71,U170
72,U171
73,U172
74,U173
75,U174
76,U175
77,U176
78,U177
79,U178
80,U179
81,U18
82,U180
83,U181
84,U182
85,U183
86,U184
87,U185
88,U186
89,U187
90,U188
91,U189
92,U19
93,U190
94,U191
95,U192
96,U193
97,U194
98,U195
99,U196
100,U197
101,U198
102,U199
103,U2
104,U20
105,U200
106,U201
107,U202
108,U204
109,U205
110,U206
111,U208
112,U209
113,U21
114,U210
115,U211
116,U212
117,U213
118,U214
119,U215
120,U216
121,U217
122,U218
123,U219
124,U22
125,U220
126,U221
127,U222
128,U223
129,U224
130,U225
131,U226
132,U227
133,U228
134,U23
135,U230
136,U231
137,U232
138,U233
139,U234
140,U235
141,U236
142,U237
143,U238
144,U239
145,U241
146,U242
147,U243
148,U244
149,U245
150,U246
151,U247
152,U248
153,U249
154,U25
155,U250
156,U251
157,U252
158,U253
159,U254
160,U255
161,U256
162,U257
163,U258
164,U26
165,U260
166,U261
167,U262
168,U263
169,U264
170,U265
171,U266
172,U267
173,U268
174,U269
175,U27
176,U271
177,U272
178,U273
179,U274
180,U275
181,U276
182,U277
183,U278
184,U279
185,U28
186,U280
187,U281
188,U282
189,U283
190,U284
191,U285
192,U286
193,U287
194,U288
195,U289
196,U290
197,U291
198,U292
199,U293
200,U294
201,U295
202,U296
203,U298
204,U3
205,U30
206,U31
207,U32
208,U33
209,U34
210,U35
211,U36
212,U37
213,U38
214,U39
215,U40
216,U41
217,U42
218,U44
219,U46
220,U47
221,U48
222,U49
223,U5
224,U50
225,U51
226,U52
227,U53
228,U54
229,U55
230,U56
231,U57
232,U58
233,U59
234,U6
235,U60
236,U61
237,U63
238,U65
239,U66
240,U67
241,U68
242,U69
243,U70
244,U71
245,U72
246,U73
247,U74
248,U75
249,U76
250,U77
251,U78
252,U79
253,U8
254,U80
255,U81
256,U82
257,U83
258,U84
259,U85
260,U86
261,U87
262,U88
263,U89
264,U9
265,U90
266,U91
267,U92
268,U93
269,U94
270,U95
271,U96
272,U97
273,U98
274,U99
