Community 0,Community 1,Community 2,Community 3,Community 4,Community 5,Community 6,Community 7,Community 8,Community 9,Community 10,Community 11,Community 12,Community 13,Community 14,Community 15,Community 16,Community 17,Community 18,Community 19,Community 20,Community 21,Community 22,Community 23,Community 24,Community 25,Community 26,Community 27,Community 28,Community 29,Community 30,Community 31,Community 32,Community 33,Community 34,Community 35,Community 36,Community 37,Community 38,Community 39,Community 40,Community 41,Community 42,Community 43,Community 44,Community 45,Community 46,Community 47,Community 48,Community 49,Community 50,Community 51,Community 52,Community 53,Community 54,Community 55,Community 56,Community 57,Community 58,Community 59
0 : U1,2 : U100,3 : U101,4 : U102,5 : U103,11 : U113,15 : U118,19 : U121,20 : U122,22 : U124,24 : U126,28 : U13,32 : U133,39 : U14,40 : U140,41 : U141,42 : U142,43 : U143,44 : U145,48 : U149,52 : U152,54 : U154,56 : U157,62 : U162,70 : U17,86 : U184,89 : U187,90 : U188,92 : U19,95 : U192,97 : U194,102 : U199,104 : U20,109 : U205,127 : U222,134 : U23,150 : U246,151 : U247,160 : U255,168 : U263,169 : U264,182 : U277,183 : U278,187 : U281,191 : U285,193 : U287,206 : U31,207 : U32,212 : U37,215 : U40,227 : U53,234 : U6,237 : U63,242 : U69,244 : U71,254 : U80,255 : U81,257 : U83,263 : U89,265 : U90
1 : U10,59 : U16,9 : U108,8 : U107,,274 : U99,,,47 : U148,,247 : U74,33 : U134,85 : U183,260 : U86,,,,,259 : U85,,,84 : U182,192 : U286,73 : U172,,,,184 : U279,,,,,261 : U87,174 : U269,,,,,,,,,,,,,,,,,272 : U97,,,,,,,,,
6 : U104,156 : U251,10 : U112,14 : U117,,,,,57 : U158,,,256 : U82,202 : U296,,,,,,,,,139 : U234,,103 : U2,,,,186 : U280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 : U105,,25 : U127,17 : U12,,,,,61 : U161,,,,271 : U96,,,,,,,,,239 : U66,,121 : U217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 : U114,,31 : U132,36 : U137,,,,,72 : U171,,,,,,,,,,,,,,,123 : U219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13 : U115,,35 : U136,51 : U151,,,,,112 : U209,,,,,,,,,,,,,,,125 : U220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16 : U119,,45 : U146,81 : U18,,,,,136 : U231,,,,,,,,,,,,,,,165 : U260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18 : U120,,63 : U163,87 : U185,,,,,171 : U266,,,,,,,,,,,,,,,178 : U273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21 : U123,,64 : U164,91 : U189,,,,,172 : U267,,,,,,,,,,,,,,,220 : U47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23 : U125,,68 : U168,93 : U190,,,,,175 : U27,,,,,,,,,,,,,,,230 : U56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26 : U128,,75 : U174,119 : U215,,,,,221 : U48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27 : U129,,80 : U179,124 : U22,,,,,251 : U78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29 : U130,,83 : U181,189 : U283,,,,,252 : U79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30 : U131,,94 : U191,210 : U35,,,,,269 : U94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34 : U135,,100 : U197,243 : U70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37 : U138,,105 : U200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38 : U139,,135 : U230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46 : U147,,138 : U233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49 : U15,,144 : U239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50 : U150,,164 : U26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53 : U153,,166 : U261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55 : U156,,195 : U289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58 : U159,,209 : U34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60 : U160,,216 : U41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65 : U165,,222 : U49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66 : U166,,232 : U58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67 : U167,,235 : U60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69 : U169,,245 : U72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71 : U170,,250 : U77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74 : U173,,273 : U98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76 : U175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77 : U176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78 : U177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79 : U178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82 : U180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88 : U186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96 : U193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98 : U195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99 : U196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101 : U198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106 : U201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107 : U202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108 : U204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110 : U206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111 : U208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113 : U21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114 : U210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115 : U211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116 : U212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117 : U213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118 : U214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
