Community 0,Community 1,Community 2,Community 3,Community 4,Community 5,Community 6,Community 7,Community 8,Community 9,Community 10,Community 11,Community 12,Community 13,Community 14,Community 15,Community 16,Community 17,Community 18,Community 19,Community 20,Community 21,Community 22,Community 23,Community 24,Community 25,Community 26,Community 27,Community 28,Community 29,Community 30,Community 31,Community 32,Community 33,Community 34,Community 35,Community 36,Community 37,Community 38,Community 39,Community 40,Community 41,Community 42,Community 43,Community 44,Community 45,Community 46,Community 47,Community 48,Community 49,Community 50,Community 51,Community 52,Community 53,Community 54,Community 55,Community 56,Community 57,Community 58,Community 59,Community 60,Community 61,Community 62,Community 63,Community 64,Community 65,Community 66,Community 67,Community 68,Community 69,Community 70,Community 71,Community 72,Community 73,Community 74,Community 75,Community 76,Community 77,Community 78,Community 79,Community 80,Community 81
0 : U1,2 : U100,4 : U102,5 : U103,6 : U104,7 : U105,8 : U107,9 : U108,11 : U113,15 : U118,17 : U12,19 : U121,20 : U122,22 : U124,24 : U126,28 : U13,36 : U137,39 : U14,40 : U140,41 : U141,42 : U142,43 : U143,44 : U145,45 : U146,47 : U148,54 : U154,56 : U157,61 : U161,64 : U164,69 : U169,70 : U17,79 : U178,86 : U184,89 : U187,90 : U188,92 : U19,94 : U191,95 : U192,97 : U194,102 : U199,108 : U204,114 : U210,116 : U212,127 : U222,128 : U223,134 : U23,138 : U233,139 : U234,149 : U245,150 : U246,151 : U247,155 : U250,161 : U256,168 : U263,169 : U264,174 : U269,175 : U27,182 : U277,183 : U278,186 : U280,187 : U281,193 : U287,195 : U289,198 : U292,203 : U298,206 : U31,207 : U32,208 : U33,212 : U37,213 : U38,234 : U6,242 : U69,244 : U71,247 : U74,248 : U75,254 : U80,255 : U81,257 : U83,261 : U87,263 : U89,271 : U96,274 : U99
1 : U10,32 : U133,14 : U117,215 : U40,12 : U114,199 : U293,10 : U112,,,,,48 : U149,62 : U162,,,33 : U134,124 : U22,160 : U255,,,,,259 : U85,216 : U41,57 : U158,84 : U182,,,,148 : U244,,,,,184 : U279,,,,109 : U205,265 : U90,129 : U224,,,237 : U63,,,191 : U285,192 : U286,171 : U266,,,,,,,,,,,,,,209 : U34,,,,,,,,,,,,,,,,,,,
3 : U101,59 : U16,25 : U127,227 : U53,13 : U115,211 : U36,68 : U168,,,,,52 : U152,103 : U2,,,256 : U82,,260 : U86,,,,,,235 : U60,58 : U159,240 : U67,,,,,,,,,,,,,,,252 : U79,,,,,,,239 : U66,269 : U94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18 : U120,85 : U183,31 : U132,272 : U97,16 : U119,,100 : U197,,,,,,121 : U217,,,,,,,,,,,267 : U92,72 : U171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21 : U123,156 : U251,51 : U151,,23 : U125,,232 : U58,,,,,,123 : U219,,,,,,,,,,,,73 : U172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27 : U129,164 : U26,75 : U174,,26 : U128,,245 : U72,,,,,,125 : U220,,,,,,,,,,,,136 : U231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30 : U131,202 : U296,80 : U179,,29 : U130,,250 : U77,,,,,,165 : U260,,,,,,,,,,,,172 : U267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35 : U136,,81 : U18,,34 : U135,,273 : U98,,,,,,178 : U273,,,,,,,,,,,,221 : U48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37 : U138,,87 : U185,,38 : U139,,,,,,,,220 : U47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46 : U147,,91 : U189,,49 : U15,,,,,,,,230 : U56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53 : U153,,93 : U190,,50 : U150,,,,,,,,251 : U78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65 : U165,,119 : U215,,55 : U156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67 : U167,,135 : U230,,60 : U160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76 : U175,,189 : U283,,63 : U163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77 : U176,,210 : U35,,66 : U166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88 : U186,,222 : U49,,71 : U170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101 : U198,,243 : U70,,74 : U173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106 : U201,,,,78 : U177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111 : U208,,,,82 : U180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115 : U211,,,,83 : U181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117 : U213,,,,96 : U193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120 : U216,,,,98 : U195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122 : U218,,,,99 : U196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126 : U221,,,,104 : U20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130 : U225,,,,105 : U200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
