Community 0,Community 1,Community 2,Community 3,Community 4,Community 5,Community 6,Community 7,Community 8,Community 9,Community 10,Community 11,Community 12,Community 13,Community 14
0 : U299,1 : U300,17 : U316,19 : U318,29 : U328,30 : U329,33 : U332,35 : U334,41 : U340,44 : U343,45 : U344,58 : U357,60 : U359,79 : U378,92 : U395
4 : U303,2 : U301,23 : U322,,,,,,,61 : U360,,,,,
9 : U308,3 : U302,,,,,,,,65 : U364,,,,,
13 : U312,5 : U304,,,,,,,,94 : U398,,,,,
18 : U317,6 : U305,,,,,,,,,,,,,
20 : U319,7 : U306,,,,,,,,,,,,,
26 : U325,8 : U307,,,,,,,,,,,,,
39 : U338,10 : U309,,,,,,,,,,,,,
47 : U346,11 : U310,,,,,,,,,,,,,
56 : U355,12 : U311,,,,,,,,,,,,,
66 : U365,14 : U313,,,,,,,,,,,,,
73 : U372,15 : U314,,,,,,,,,,,,,
77 : U376,16 : U315,,,,,,,,,,,,,
85 : U386,21 : U320,,,,,,,,,,,,,
89 : U391,22 : U321,,,,,,,,,,,,,
,24 : U323,,,,,,,,,,,,,
,25 : U324,,,,,,,,,,,,,
,27 : U326,,,,,,,,,,,,,
,28 : U327,,,,,,,,,,,,,
,31 : U330,,,,,,,,,,,,,
,32 : U331,,,,,,,,,,,,,
,34 : U333,,,,,,,,,,,,,
,36 : U335,,,,,,,,,,,,,
,37 : U336,,,,,,,,,,,,,
,38 : U337,,,,,,,,,,,,,
,40 : U339,,,,,,,,,,,,,
,42 : U341,,,,,,,,,,,,,
,43 : U342,,,,,,,,,,,,,
,46 : U345,,,,,,,,,,,,,
,48 : U347,,,,,,,,,,,,,
,49 : U348,,,,,,,,,,,,,
,50 : U349,,,,,,,,,,,,,
,51 : U350,,,,,,,,,,,,,
,52 : U351,,,,,,,,,,,,,
,53 : U352,,,,,,,,,,,,,
,54 : U353,,,,,,,,,,,,,
,55 : U354,,,,,,,,,,,,,
,57 : U356,,,,,,,,,,,,,
,59 : U358,,,,,,,,,,,,,
,62 : U361,,,,,,,,,,,,,
,63 : U362,,,,,,,,,,,,,
,64 : U363,,,,,,,,,,,,,
,67 : U366,,,,,,,,,,,,,
,68 : U367,,,,,,,,,,,,,
,69 : U368,,,,,,,,,,,,,
,70 : U369,,,,,,,,,,,,,
,71 : U370,,,,,,,,,,,,,
,72 : U371,,,,,,,,,,,,,
,74 : U373,,,,,,,,,,,,,
,75 : U374,,,,,,,,,,,,,
,76 : U375,,,,,,,,,,,,,
,78 : U377,,,,,,,,,,,,,
,80 : U379,,,,,,,,,,,,,
,81 : U380,,,,,,,,,,,,,
,82 : U381,,,,,,,,,,,,,
,83 : U382,,,,,,,,,,,,,
,84 : U384,,,,,,,,,,,,,
,86 : U387,,,,,,,,,,,,,
,87 : U388,,,,,,,,,,,,,
,88 : U389,,,,,,,,,,,,,
,90 : U392,,,,,,,,,,,,,
,91 : U394,,,,,,,,,,,,,
,93 : U397,,,,,,,,,,,,,
