,ASV
0,U299
1,U300
2,U301
3,U302
4,U303
5,U304
6,U305
7,U306
8,U307
9,U308
10,U309
11,U310
12,U311
13,U312
14,U313
15,U314
16,U315
17,U316
18,U317
19,U318
20,U319
21,U320
22,U321
23,U322
24,U323
25,U324
26,U325
27,U326
28,U327
29,U328
30,U329
31,U330
32,U331
33,U332
34,U333
35,U334
36,U335
37,U336
38,U337
39,U338
40,U339
41,U340
42,U341
43,U342
44,U343
45,U344
46,U345
47,U346
48,U347
49,U348
50,U349
51,U350
52,U351
53,U352
54,U353
55,U354
56,U355
57,U356
58,U357
59,U358
60,U359
61,U360
62,U361
63,U362
64,U363
65,U364
66,U365
67,U366
68,U367
69,U368
70,U369
71,U370
72,U371
73,U372
74,U373
75,U374
76,U375
77,U376
78,U377
79,U378
80,U379
81,U380
82,U381
83,U382
84,U384
85,U386
86,U387
87,U388
88,U389
89,U391
90,U392
91,U394
92,U395
93,U397
94,U398
