Community 0,Community 1,Community 2,Community 3,Community 4,Community 5,Community 6,Community 7,Community 8,Community 9,Community 10,Community 11,Community 12,Community 13,Community 14,Community 15,Community 16,Community 17,Community 18,Community 19,Community 20,Community 21,Community 22,Community 23,Community 24
0 : U299,1 : U300,7 : U306,9 : U308,13 : U312,15 : U314,17 : U316,18 : U317,19 : U318,24 : U323,29 : U328,30 : U329,33 : U332,34 : U333,35 : U334,41 : U340,44 : U343,45 : U344,49 : U348,58 : U357,60 : U359,67 : U366,79 : U378,82 : U381,92 : U395
4 : U303,2 : U301,,36 : U335,,,23 : U322,69 : U368,,59 : U358,,,,,,,61 : U360,,,,,,,,
20 : U319,3 : U302,,42 : U341,,,,,,86 : U387,,,,,,,65 : U364,,,,,,,,
26 : U325,5 : U304,,64 : U363,,,,,,93 : U397,,,,,,,94 : U398,,,,,,,,
39 : U338,6 : U305,,70 : U369,,,,,,,,,,,,,,,,,,,,,
47 : U346,8 : U307,,74 : U373,,,,,,,,,,,,,,,,,,,,,
56 : U355,10 : U309,,78 : U377,,,,,,,,,,,,,,,,,,,,,
66 : U365,11 : U310,,80 : U379,,,,,,,,,,,,,,,,,,,,,
73 : U372,12 : U311,,81 : U380,,,,,,,,,,,,,,,,,,,,,
77 : U376,14 : U313,,83 : U382,,,,,,,,,,,,,,,,,,,,,
85 : U386,16 : U315,,,,,,,,,,,,,,,,,,,,,,,
89 : U391,21 : U320,,,,,,,,,,,,,,,,,,,,,,,
,22 : U321,,,,,,,,,,,,,,,,,,,,,,,
,25 : U324,,,,,,,,,,,,,,,,,,,,,,,
,27 : U326,,,,,,,,,,,,,,,,,,,,,,,
,28 : U327,,,,,,,,,,,,,,,,,,,,,,,
,31 : U330,,,,,,,,,,,,,,,,,,,,,,,
,32 : U331,,,,,,,,,,,,,,,,,,,,,,,
,37 : U336,,,,,,,,,,,,,,,,,,,,,,,
,38 : U337,,,,,,,,,,,,,,,,,,,,,,,
,40 : U339,,,,,,,,,,,,,,,,,,,,,,,
,43 : U342,,,,,,,,,,,,,,,,,,,,,,,
,46 : U345,,,,,,,,,,,,,,,,,,,,,,,
,48 : U347,,,,,,,,,,,,,,,,,,,,,,,
,50 : U349,,,,,,,,,,,,,,,,,,,,,,,
,51 : U350,,,,,,,,,,,,,,,,,,,,,,,
,52 : U351,,,,,,,,,,,,,,,,,,,,,,,
,53 : U352,,,,,,,,,,,,,,,,,,,,,,,
,54 : U353,,,,,,,,,,,,,,,,,,,,,,,
,55 : U354,,,,,,,,,,,,,,,,,,,,,,,
,57 : U356,,,,,,,,,,,,,,,,,,,,,,,
,62 : U361,,,,,,,,,,,,,,,,,,,,,,,
,63 : U362,,,,,,,,,,,,,,,,,,,,,,,
,68 : U367,,,,,,,,,,,,,,,,,,,,,,,
,71 : U370,,,,,,,,,,,,,,,,,,,,,,,
,72 : U371,,,,,,,,,,,,,,,,,,,,,,,
,75 : U374,,,,,,,,,,,,,,,,,,,,,,,
,76 : U375,,,,,,,,,,,,,,,,,,,,,,,
,84 : U384,,,,,,,,,,,,,,,,,,,,,,,
,87 : U388,,,,,,,,,,,,,,,,,,,,,,,
,88 : U389,,,,,,,,,,,,,,,,,,,,,,,
,90 : U392,,,,,,,,,,,,,,,,,,,,,,,
,91 : U394,,,,,,,,,,,,,,,,,,,,,,,
