Community 0,Community 1,Community 2,Community 3,Community 4,Community 5,Community 6,Community 7,Community 8,Community 9
0 : U299,1 : U300,2 : U302,10 : U312,12 : U314,14 : U317,17 : U323,30 : U345,36 : U353,54 : U378
3 : U303,5 : U305,4 : U304,23 : U329,22 : U328,47 : U368,29 : U343,59 : U387,40 : U358,55 : U379
15 : U319,7 : U308,6 : U307,,,64 : U394,41 : U360,63 : U392,,
19 : U325,13 : U315,8 : U310,,,,45 : U364,,,
26 : U338,18 : U324,9 : U311,,,,65 : U398,,,
31 : U346,24 : U331,11 : U313,,,,,,,
38 : U355,25 : U335,16 : U321,,,,,,,
46 : U365,28 : U341,20 : U326,,,,,,,
52 : U376,37 : U354,21 : U327,,,,,,,
58 : U386,42 : U361,27 : U339,,,,,,,
62 : U391,44 : U363,32 : U349,,,,,,,
,48 : U369,33 : U350,,,,,,,
,49 : U370,34 : U351,,,,,,,
,53 : U377,35 : U352,,,,,,,
,56 : U380,39 : U356,,,,,,,
,,43 : U362,,,,,,,
,,50 : U371,,,,,,,
,,51 : U375,,,,,,,
,,57 : U384,,,,,,,
,,60 : U388,,,,,,,
,,61 : U389,,,,,,,
