,0,col
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.331,0.03260119,cornflowerblue
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_9_NA.136,0.030913811,indianred
Bacteria_Firmicutes_Clostridia_Oscillospirales_Eubacterium-coprostanoligenes-group_NA_NA.15,0.027961537,cornflowerblue
Bacteria_Firmicutes_Clostridia_Clostridia-UCG-014_NA_NA_NA.6,0.0277571,cornflowerblue
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Rikenellaceae_Rikenellaceae-RC9-gut-group_NA.51,0.027454572,indianred
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Muribaculaceae_NA_NA.137,0.026806574,indianred
Bacteria_Firmicutes_Clostridia_Peptostreptococcales-Tissierellales_Anaerovoracaceae_Family-XIII-AD3011-group_NA.12,0.025654573,indianred
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Faecalibacterium_prausnitzii.1,0.025553996,cornflowerblue
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Muribaculaceae_CAG-873_NA.3,0.023286683,cornflowerblue
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Tannerellaceae_NA_NA.1,0.022891412,cornflowerblue
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae-NK4A136-group_NA.10,0.021092089,indianred
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.342,0.02100273,indianred
Bacteria_Verrucomicrobiota_Verrucomicrobiae_Verrucomicrobiales_Akkermansiaceae_Akkermansia_NA.5,0.020264436,cornflowerblue
Bacteria_Firmicutes_Clostridia_Clostridia-UCG-014_NA_NA_NA.53,0.019802272,cornflowerblue
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_clarus.1,0.01936516,cornflowerblue
Bacteria_Proteobacteria_Alphaproteobacteria_Rhodospirillales_NA_NA_NA.2,0.019268557,cornflowerblue
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_CAG-352_NA.6,0.018870292,indianred
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Rikenellaceae_Alistipes_NA.28,0.018658284,cornflowerblue
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Porphyromonadaceae_Porphyromonas_NA.30,0.01808224,cornflowerblue
Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_Christensenellaceae-R-7-group_NA.99,0.01783037,cornflowerblue
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnoclostridium_NA.68,0.017201701,cornflowerblue
Bacteria_Firmicutes_Clostridia_Peptostreptococcales-Tissierellales_Anaerovoracaceae_Family-XIII-UCG-001_NA.1,0.017023487,cornflowerblue
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_coprocola.3,0.015502883,cornflowerblue
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Blautia_faecis.1,0.015124328,cornflowerblue
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospira_pectinoschiza.1,0.014881399,indianred
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Barnesiellaceae_Barnesiella_intestinihominis.2,0.014328998,indianred
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Faecalibacterium_prausnitzii.3,0.014306434,cornflowerblue
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Ruminococcus-torques-group_NA.19,0.013989383,indianred
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae-NK4A136-group_NA.20,0.013960826,indianred
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_NK4A214-group_NA.21,0.013382667,cornflowerblue
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.396,0.012819195,indianred
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_Intestinimonas_NA.16,0.010832852,cornflowerblue
Bacteria_Firmicutes_Bacilli_Acholeplasmatales_Acholeplasmataceae_Anaeroplasma_NA.1,0.010650967,cornflowerblue
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae_UCG-010_NA.4,0.010601539,indianred
Bacteria_Firmicutes_Clostridia_Peptostreptococcales-Tissierellales_Family-XI_Parvimonas_micra.1,0.010554989,cornflowerblue
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-002_NA.25,0.010480259,indianred
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_vulgatus.1,0.010428773,cornflowerblue
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_Flavonifractor_plautii.2,0.010405959,cornflowerblue
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Coprococcus_NA.8,0.010219346,cornflowerblue
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_NA_NA.68,0.009780888,cornflowerblue
Bacteria_Firmicutes_Clostridia_Clostridia-vadinBB60-group_NA_NA_NA.56,0.009533327,cornflowerblue
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_7_NA.11,0.009163501,cornflowerblue
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Coprococcus_catus.1,0.009092368,cornflowerblue
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Eubacterium-siraeum-group_NA.14,0.008634525,indianred
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_Colidextribacter_NA.10,0.008516511,cornflowerblue
Bacteria_Actinobacteriota_Coriobacteriia_Coriobacteriales_Coriobacteriaceae_Collinsella_NA.7,0.008434466,cornflowerblue
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Anaerostipes_hadrus.3,0.008000063,cornflowerblue
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_NA_NA.77,0.0074967826,cornflowerblue
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_Colidextribacter_NA.17,0.007461729,cornflowerblue
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Roseburia_intestinalis.1,0.0073652794,indianred
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Barnesiellaceae_Barnesiella_NA.31,0.0067301085,cornflowerblue
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Faecalibacterium_prausnitzii.5,0.0066035506,cornflowerblue
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnoclostridium_NA.102,0.006504914,indianred
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Blautia_NA.26,0.006280464,cornflowerblue
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Barnesiellaceae_Coprobacter_NA.10,0.0062229615,indianred
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae-NK4A136-group_NA.48,0.005968747,cornflowerblue
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_eggerthii.2,0.0057823635,indianred
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.330,0.00550986,indianred
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Roseburia_NA.19,0.0051471977,indianred
Bacteria_Firmicutes_Clostridia_Oscillospirales_Eubacterium-coprostanoligenes-group_NA_NA.17,0.005071011,indianred
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Fusicatenibacter_saccharivorans.1,0.004962509,cornflowerblue
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae-NK4A136-group_NA.1,0.004910464,cornflowerblue
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Tannerellaceae_Parabacteroides_distasonis.9,0.004794431,cornflowerblue
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospira_NA.19,0.0047161244,cornflowerblue
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Rikenellaceae_Rikenellaceae-RC9-gut-group_NA.44,0.004457658,indianred
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae_UCG-004_NA.7,0.0043198476,cornflowerblue
