,0,col
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-002_NA.11,0.07005243,cornflowerblue
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospira_pectinoschiza.1,0.067884184,cornflowerblue
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Eubacterium-siraeum-group_NA.12,0.06591964,cornflowerblue
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-005_NA.39,0.0430871,cornflowerblue
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_Intestinimonas_NA.16,0.038486455,indianred
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-002_NA.2,0.038476028,cornflowerblue
Bacteria_Firmicutes_Clostridia_Oscillospirales_Butyricicoccaceae_Butyricicoccus_NA.11,0.036246564,indianred
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_NK4A214-group_NA.35,0.033063013,indianred
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Eubacterium-siraeum-group_NA.13,0.0307662,cornflowerblue
Bacteria_Firmicutes_Clostridia_Oscillospirales_Eubacterium-coprostanoligenes-group_NA_NA.37,0.030322276,cornflowerblue
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_caccae.2,0.029231232,cornflowerblue
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Ruminococcus_NA.10,0.028253268,cornflowerblue
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Barnesiellaceae_Barnesiella_NA.22,0.023412002,indianred
Bacteria_Proteobacteria_Alphaproteobacteria_Rhodospirillales_NA_NA_NA.5,0.02217957,cornflowerblue
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Muribaculaceae_CAG-873_NA.3,0.02127764,cornflowerblue
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.305,0.02109658,cornflowerblue
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Rikenellaceae_Rikenellaceae-RC9-gut-group_NA.34,0.019771937,cornflowerblue
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Subdoligranulum_NA.18,0.019269744,indianred
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Butyrivibrio_crossotus.1,0.019173369,cornflowerblue
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_vulgatus.1,0.018351726,indianred
Bacteria_Firmicutes_Clostridia_Oscillospirales_Eubacterium-coprostanoligenes-group_NA_NA.10,0.016848609,cornflowerblue
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae-NK4A136-group_NA.52,0.015656529,cornflowerblue
Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_Christensenellaceae-R-7-group_NA.76,0.015098306,cornflowerblue
Bacteria_Firmicutes_Clostridia_Clostridia-UCG-014_NA_NA_NA.22,0.014843357,indianred
Bacteria_Verrucomicrobiota_Verrucomicrobiae_Verrucomicrobiales_Akkermansiaceae_Akkermansia_NA.4,0.014840589,cornflowerblue
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_7_NA.11,0.013672929,cornflowerblue
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Barnesiellaceae_Barnesiella_NA.40,0.011793873,cornflowerblue
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Faecalibacterium_prausnitzii.5,0.011754305,indianred
Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae-ND3007-group_NA.9,0.010124709,cornflowerblue
Bacteria_Actinobacteriota_Coriobacteriia_Coriobacteriales_Coriobacteriaceae_Collinsella_aerofaciens.1,0.009724056,cornflowerblue
Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-002_NA.37,0.00963239,cornflowerblue
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotellaceae-NK3B31-group_NA.14,0.009606164,cornflowerblue
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Faecalibacterium_prausnitzii.3,0.009244398,cornflowerblue
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_NA_NA.13,0.009134961,indianred
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Rikenellaceae_Alistipes_NA.47,0.0082786465,cornflowerblue
Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Subdoligranulum_NA.60,0.0074730203,indianred
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Barnesiellaceae_Barnesiella_NA.31,0.0074139214,cornflowerblue
