,U1,U10,U100,U101,U102,U103,U104,U105,U107,U108,U112,U113,U114,U115,U117,U118
bac1,0,0,0,134,0,131,0,0,334,0,0,0,0,0,58,0
bac2,0,0,0,0,0,207,0,0,0,0,0,67,0,0,0,0
bac3,264,881,125,287,176,470,1133,70,504,132,390,1415,169,165,304,137
bac4,1204,337,311,1244,585,2229,1409,293,426,687,523,379,392,1696,390,496
bac5,0,0,0,0,83,161,0,0,0,0,82,0,0,0,0,0
bac6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bac7,492,203,489,878,1368,412,224,159,1680,439,1327,172,185,109,403,1144
bac8,0,0,0,0,0,0,0,198,52,0,75,0,61,2371,0,0
bac9,571,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0
bac10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51
bac11,212,145,0,0,0,0,0,115,0,0,0,0,0,0,0,101
bac12,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0
bac13,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0
bac14,59,0,0,62,189,147,258,0,73,116,131,0,83,0,76,225
bac15,0,0,56,0,436,0,0,0,0,0,87,0,0,0,0,0
bac16,0,0,0,89,0,0,0,0,0,0,51,0,0,0,0,0
bac17,885,1128,532,794,214,247,834,473,728,384,520,355,1100,907,285,84
bac18,0,0,797,149,144,146,116,166,0,0,0,0,0,0,0,0
bac19,0,0,111,0,0,0,0,83,0,0,0,0,0,0,0,0
bac20,1312,0,0,822,0,0,0,113,0,0,0,0,0,0,61,0
bac21,67,0,0,0,0,0,0,0,0,76,0,0,0,0,0,70
bac22,170,199,85,357,0,0,106,0,0,0,0,0,53,0,435,373
bac23,0,0,66,0,0,121,0,0,87,79,94,131,76,73,0,0
bac24,128,0,56,676,0,68,0,78,0,0,0,0,0,0,0,0
bac25,13796,4343,8354,5082,4854,6740,4411,8109,3466,5695,5267,21003,6197,9674,3913,17508
bac26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bac27,323,129,0,96,70,0,0,810,439,228,350,223,180,2291,0,0
bac28,1499,0,99,0,0,0,0,455,0,0,0,0,0,326,0,0
bac29,0,0,635,148,983,122,139,153,0,0,190,0,0,0,0,0
bac30,440,1640,109,95,62,0,177,920,300,291,264,236,254,3625,69,70
bac31,1387,0,585,328,502,254,405,296,192,770,475,93,122,87,410,4007
bac32,12420,2358,5770,3034,5641,2512,3635,2677,7328,2432,5328,1394,1066,1430,2123,1949
bac33,1193,1017,4384,5095,14001,2202,3785,2031,7410,1419,3789,1079,4721,1090,48394,3377
